,question,answer
823,objective ifrs,meet objective paragraphthis ifrs requires entity control one entity present consolidated financial statement defines principle control establishes control basis consolidation set apply principle control identify whether investor control investee therefore must consolidate investee set accounting requirement preparation consolidated financial statement defines investment entity set exception consolidating particular subsidiary investment entity
824,ifrs deal accounting requirement business combination effect consolidation,ifrs deal accounting requirement business combination effect consolidation including goodwill arising business combination
825,ifrs parent,ifrs applies entity except follows parent need present consolidated financial statement meet following condition whollyowned subsidiary partiallyowned subsidiary another entity owner including otherwise entitled vote informed object parent presenting consolidated financial statement debt equity instrument traded public market file process filing financial statement security commission regulatory organisation purpose issuing class instrument public market ultimate intermediate parent produce financial statement available public use comply ifrss subsidiary consolidated measured fair value profit loss accordance ifrs
826,postemployment benefit plan longterm employee benefit plan ias19 employee,ifrs apply postemployment benefit plan longterm employee benefit plan ias19 employee benefit applies
827,purpose ifrs,parent investment entity present consolidated financial statement required accordance paragraphof ifrs measure subsidiary fair value profit loss
828,purpose ,investor regardless nature involvement entity determine whether parent assessing whether control investee
829,role investor decision,investor control investee exposed right variable return involvement investee ability affect return power investee
830,investor control investor,thus investor control investee investor following power investee exposure right variable return involvement investee ability use power investee affect amount investor return
831,purpose ,investor reassess whether control investee fact circumstance indicate change one three element control listed  7
832,ifrss would investor account interest investee,investor would account interest investee accordance relevant ifrss ifrs11 joint arrangement ias28 investment associate joint venture ifrs9 financial instrument
833,difference investor investor,investor power investee investor existing right give current ability direct relevant activity ie activity significantly affect investees return
834,difference assessing power assessing power,sometimes assessing power straightforward power investee obtained directly solely voting right granted equity instrument share assessed considering voting right shareholding
835,difference power power argument,evidence investor directing relevant activity help determine whether investor power evidence conclusive determining whether investor power investee
836,difference two investor,two investor existing right give unilateral ability direct different relevant activity investor current ability direct activity significantly affect return investee power investee
837,author mean investor power investee even,investor power investee even entity existing right give current ability participate direction relevant activity example another entity significant influence
838,difference positive negative return,investor exposed right variable return involvement investee investor return involvement potential vary result investees performance
839,noncontrolling interest share profit distribution investee,example holder noncontrolling interest share profit distribution investee
840,effect investor power investee,investor control investee investor power investee exposure right variable return involvement investee also ability use power affect investor return involvement investee
841,definition agent mean,investor agent accordance  b58b72 control investee exercise decisionmaking right delegated
842,purpose ,parent prepare consolidated financial statement using uniform accounting policy like transaction event similar circumstance
843,investor loses control investee,consolidation investee begin date investor obtains control investee cease investor loses control investee
844,purpose , b86b93 set guidance preparation consolidated financial statement
845,purpose ,parent present noncontrolling interest consolidated statement financial position within equity separately equity owner parent
846,difference two type transaction,change parent ownership interest subsidiary result parent losing control subsidiary equity transaction
847,purpose  b94b96, b94b96 set guidance accounting noncontrolling interest consolidated financial statement
848,remeasured value financial asset date control,remeasured value date control lost regarded fair value initial recognition financial asset accordance ifrs9 cost initial recognition investment associate joint venture applicable
849,accounting loss control subsidiary, b97b99a set guidance accounting loss control subsidiary
850,definition investment entity,investment entity entity thate8 obtains fund one investor purpose providing investor investment management service commits investor business purpose invest fund solely return capital appreciation investment income measure evaluates performance substantially investment fair value basis
851,ifrs12 basis conclusion require investment entity,investment entity typical characteristic provides additional disclosure required  9a ifrs12 disclosure interest entity
852,definition investment entity,fact circumstance indicate change one three element make definition investment entity described paragraphor typical characteristic investment entity described paragrapha parent reassess whether investment entity
853,purpose ,parent either cease investment entity becomes investment entity account change status prospectively date change status occurred
854,investment entity obtains control another entity,except described paragraphan investment entity consolidate subsidiary apply ifrs3 obtains control another entity
855,purpose consolidation subsidiary,notwithstanding requirement paragraphif investment entity subsidiary investment entity whose main purpose activity providing service relate investment entity investment activity consolidate subsidiary accordance paragraphsof ifrs apply requirement ifrs3 acquisition subsidiary
856,purpose ,parent investment entity consolidate entity control including controlled investment entity subsidiary unless parent investment entity
857,objective ifrs,objective ifrs establish principle financial reporting entity interest arrangement controlled jointly
858,purpose ifrs,meet objective paragraphthis ifrs defines joint control requires entity party joint arrangement determine type joint arrangement involved assessing right obligation account right obligation accordance type joint arrangement
859,definition ifrs,ifrs applied entity party joint arrangement
860,joint arrangement,joint arrangement arrangement two party joint control
861,joint arrangement,joint arrangement following characteristic party bound contractual arrangement
862,joint arrangement,joint arrangement either joint operation joint venture
863,definition joint control,joint control contractually agreed sharing control arrangement exists decision relevant activity require unanimous consent party sharing control
864,purpose ,entity party arrangement ass whether contractual arrangement give party group party control arrangement collectively
865,difference group party group party,determined party group party control arrangement collectively joint control exists decision relevant activity require unanimous consent party control arrangement collectively
866,meaning joint arrangement,party joint control arrangement prevent party group party controlling arrangement
867,difference joint arrangement joint venture,ifrs distinguishes party joint control joint arrangement party participate joint control joint arrangement
868,purpose ,entity need apply judgement assessing whether party group party joint control arrangement
869,reassessment entity control arrangement,fact circumstance change entity reassess whether still joint control arrangement
870,definition joint arrangement,classification joint arrangement joint operation joint venture depends upon right obligation party arrangement
871,joint operation,joint operation joint arrangement whereby party joint control arrangement right asset obligation liability relating arrangement
872,joint venture,party called joint venturer
873,purpose ,entity ass right obligation considering structure legal form arrangement term agreed party contractual arrangement relevant fact circumstance
874,difference joint arrangement framework agreement,even though joint arrangement related framework agreement type might different party right obligation differ undertaking different activity dealt framework agreement
875,type joint arrangement involved entity,fact circumstance change entity reassess whether type joint arrangement involved changed
876,joint operator recognise relation interest joint operation,joint operator recognise relation interest joint operatione2 asset including share asset held jointly liability including share liability incurred jointlye3 revenue sale share output arising joint operatione4 share revenue sale output joint operatione5 expense including share expense incurred jointly
877,ifrs joint operator,joint operator account asset liability revenue expense relating interest joint operation accordance ifrss applicable particular asset liability revenue expense
878,accounting acquisition interest joint operation,applies acquisition initial interest additional interest joint operation activity joint operation constitutes business
879,true,accounting transaction sale contribution purchase asset entity joint operation joint operator specified  b34b37
880,ifrs party right asset,party participates joint control joint operation right asset obligation liability relating joint operation account interest joint operation accordance ifrss applicable interest
881,definition joint venture,joint venturer recognise interest joint venture investment account investment using equity method accordance ias28 investment associate joint venture unless entity exempted applying equity method specified standard
882,purpose ,party participates joint control joint venture account interest arrangement accordance ifrs9 financial instrument unless significant influence joint venture case account accordance ias28
883,purpose ,separate financial statement joint operator joint venturer account interest joint operation accordance  2022e7 joint venture accordance paragraphof ias27 separate financial statement
884,purpose ,separate financial statement party participates joint control joint arrangement account interest joint operation accordance  joint venture accordance ifrs9 unless entity significant influence joint venture case apply paragraphof ias27
885,ifrs require entity disclose,36 financial statement evaluate nature risk associated interest entity effect interest financial position financial performance cash flow
886,purpose ,meet objective paragraphan entity disclose significant judgement assumption made determining nature interest another entity arrangement type joint arrangement interest meet definition investment entity applicable information interest subsidiary disclosure interest subsidiary disclosure text block joint arrangement associate disclosure interest associate disclosure text blockdisclosure interest joint arrangement disclosure text block structured entity controlled entity
887,purpose disclosure required ifrs,disclosure required ifrs together disclosure required ifrss meet objective paragraphan entity disclose whatever additional information necessary meet objective
888,purpose ifrs,entity consider level detail necessary satisfy disclosure objective much emphasis place requirement ifrs
889,ifrs company,ifrs applied entity interest following subsidiary joint arrangement associate unconsolidated structured entity
890,ifrs5 noncurrent asset held sale discontinue,except described  b17 requirement ifrs apply entity interest listed paragraphthat classified held sale discontinued operation accordance ifrs5 noncurrent asset held sale discontinued operation
891,ifrs10 apply,ifrs apply postemployment benefit plan longterm employee benefit plan ias19 employee benefit applies
892,purpose disclosure,entity disclose information significant judgement assumption made determining control another entity ie investee described paragraphsandof ifrs10 consolidated financial statement joint control arrangement significant influence another entity type joint arrangement arrangement structured separate vehicle
893,meaning  7,significant judgement assumption disclosed accordance paragraphinclude made entity change fact circumstance conclusion whether control joint control significant influence change reporting period
894,reason presumption investor significant influence,description reason presumption investor significant influence overcome interest investee twenty per cent example text significant influence even though hold le thanper cent voting right another entity
895,purpose ,investment entity one typical characteristic investment entity disclose reason concluding nevertheless investment entity
896,purpose disclosure,entity becomes cease investment entity disclose change investment entity status reason change
897,purpose ,entity disclose information enables user referconceptual framework  1
898,reason using different date period subsidiary disclosure,financial statement subsidiary used preparation consolidated financial statement date period different consolidated financial statement entity disclose date end reporting period financial statement subsidiary date end reporting period financial statement subsidiary disclosure date reason using different date period
899,proportion voting right held noncontrolling interest,proportion ownership interest held noncontrolling interest disclosure percent proportion voting right held noncontrolling interest different proportion ownership interest held
900,restriction restrict entity ability access use asset settle liability,entity disclose significant restriction ability access use asset settle liability group restrict ability parent subsidiary transfer cash asset entity within group
901,could require parent subsidiary provide financial support consolidated structured entity,entity disclose term contractual arrangement could require parent subsidiary provide financial support consolidated structured entity including event circumstance could expose reporting entity loss
902,purpose disclosure,description reason providing support structured entity without contractual obligation disclosure text ifrs12
903,purpose ,reporting period parent subsidiary without contractual obligation provided financial support previously unconsolidated structured entity provision support resulted entity controlling structured entity entity disclose explanation relevant factor reaching decision
904,intention entity provide financial support consolidated structured,entity disclose current intention provide financial support consolidated structured entity including intention assist structured entity obtaining financial support
905,purpose ,entity present schedule show effect equity attributable owner parent change ownership interest subsidiary result loss control
906,definition term loss,entity disclose gain loss calculated accordance paragraphof ifrs10 portion gain loss attributable measuring investment retained former subsidiary fair value date control lost portion gain recognised control subsidiary lost attributable recognising investment retained former subsidiary disclosure monetaryduration credit line item profit loss gain loss recognised
907,definition consolidation exception,investment entity accordance ifrs10 required apply exception consolidation instead account investment subsidiary fair value profit loss disclose fact
908,proportion ownership interest subsidiary,12 b disclosure825700 proportion ownership interest held investment entity different proportion voting right held
909,parent provide disclosure 19b,disclosure may provided including financial statement parent financial statement subsidiary contain information
910,nature restriction transfer fund unconsolidated subsidiary,investment entity disclose nature extent significant restriction ability unconsolidated subsidiary transfer fund investment entity form cash dividend repay loan advance made unconsolidated subsidiary investment entity description nature extent significant restriction transfer fund entity disclosure text ifrs12
911,purpose disclosure,reporting period investment entity subsidiary without contractual obligation provided financial support unconsolidated subsidiary entity disclose type amount support provided unconsolidated subsidiary description type support provided subsidiary investment entity subsidiary without contractual obligation disclosure textsupport provided subsidiary investment entity subsidiary without contractual obligation disclosure monetaryduration reason providing support
912,definition consolidated entity,investment entity disclose term contractual arrangement could require entity unconsolidated subsidiary provide financial support unconsolidated controlled structured entity including event circumstance could expose reporting entity loss
913,purpose disclosure,reporting period investment entity unconsolidated subsidiary without contractual obligation provided financial support unconsolidated structured entity investment entity control provision support resulted investment entity controlling structured entity investment entity disclose explanation relevant factor reaching decision provide support
914,purpose paragraphsand 2,entity disclose information enables user referconceptual framework  1
915,nature relationship entity joint arrangement associate,17 b disclosure825700 nature entity relationship joint arrangement associate
916,true,investment entity need provide disclosure required  2121
917,reason entity us different reporting date period joint venture,description reason using different reporting date period associate disclosure textdescription reason using different reporting date period joint venture disclosure text unrecognised share loss joint venture associate reporting period cumulatively entity stopped recognising share loss joint venture associate applying equity method
918,amount commitment entity relating joint,entity disclose commitment relating joint venture separately amount commitment specified  b18b20
919,entity disclose public,entity disclose information enables user referconceptual framework  1
920,information required  24,information required paragraphincludes information entity exposure risk involvement unconsolidated structured entity previous period even entity longer contractual involvement structured entity reporting date
921,purpose  24,investment entity need provide disclosure required paragraphfor unconsolidated structured entity control present disclosure required  19a19g
922,purpose disclosure,entity disclose qualitative quantitative information interest unconsolidated structured entity including limited nature purpose size activity structured entity structured entity financed
923,purpose disclosure,entity sponsored unconsolidated structured entity provide information required  entity disclose determined structured entity sponsored description entity determined structured entity sponsored disclosure text income structured entity reporting period including description type income presented description type income structured entity disclosure text ifrs12
924,purpose paragraphand,entity present information paragraphand tabular format unless another format appropriate classify sponsoring activity relevant category
925,maximum exposure loss interest structured entity,description line item statement financial position asset liability recognised relation structured entity recognised disclosure text amount best represents entity maximum exposure loss interest unconsolidated structured entity including maximum exposure loss determined
926,type support entity provide unconsolidated structured entity,reporting period entity without contractual obligation provided financial support unconsolidated structured entity previously currently interest entity disclose type amount support provided including situation entity assisted structured entity obtaining financial support description type support provided structured entity without contractual obligation disclosure text ifrs12
927,purpose disclosure,entity disclose current intention provide financial support unconsolidated structured entity including intention assist structured entity obtaining financial support
928,purpose standard,ifrs defines fair value set single ifrs framework measuring fair value requires disclosure fair value measurement
929,objective fair value measurement,fair value marketbased measurement entityspecific measurement
930,difference fair value marketbased measurement,price identical asset liability observable entity measure fair value using another valuation technique maximises use relevant observable input minimises use unobservable input
931,definition fair value,addition ifrs applied entity equity instrument measured fair value
932,ifrs fair value measurement,ifrs applies another ifrs requires permit fair value measurement disclosure fair value measurement except specified paragraphsand 7
933,ifrs2 paragraphsay measurement disclosure requirement,measurement disclosure requirement ifrs apply following sharebased payment transaction within scope ifrs2 sharebased payment leasing transaction accounted accordance ifrs16 lease measurement similarity fair value fair value net realisable value ias2 inventory value use ias36 impairment asset
934,ifrs required,disclosure required ifrs required following plan asset measured fair value accordance ias19 employee benefit retirement benefit plan investment measured fair value accordance ias26 accounting reporting retirement benefit plan asset recoverable amount fair value le cost disposal accordance ias36
935,fair value measurement framework,fair value measurement framework described ifrs applies initial subsequent measurement fair value required permitted ifrss
936,fair value,ifrs defines fair value price would received sell asset paid transfer liability orderly transaction market participant measurement date
937,fair value measurement approach, b2 describes overall fair value measurement approach
938,characteristic asset liability,characteristic include example following condition location asset restriction sale use asset
939,effect particular characteristic measurement,effect measurement arising particular characteristic differ depending characteristic would taken account market participant
940,definition fair value,asset liability measured fair value might either following standalone asset liability group asset group liability group asset liability
941,unit account asset liability,whether asset liability standalone asset liability group asset group liability group asset liability recognition disclosure purpose depends unit account
942,definition fair value measurement,fair value measurement assumes asset liability exchanged orderly transaction market participant sell asset transfer liability measurement date current market condition
943,fair value measurement take place,fair value measurement assumes transaction sell asset transfer liability take place either principal market asset liability absence principal market advantageous market asset liability
944,advantageous market absence principal market,absence evidence contrary market entity would normally enter transaction sell asset transfer liability presumed principal market absence principal market advantageous market
945,fair value asset liability,principal market asset liability fair value measurement represent price market even price different market potentially advantageous measurement date
946,principal market asset liability,different entity different activity may access different market principal market asset liability might different different entity
947,entity need able sell particular asset transfer particular liability,although entity must able access market entity need able sell particular asset transfer particular liability measurement date able measure fair value basis price market
948,basis estimating price sell asset transfer liability,assumed transaction establishes basis estimating price sell asset transfer liability
949,fair value asset,entity measure fair value asset liability using assumption market participant would use pricing asset liability assuming market participant act economic best interest
950,purpose ,developing assumption entity need identify specific market participant
951,value asset,fair value price would received sell asset paid transfer liability orderly transaction principal market measurement date current market condition regardless whether price directly observable estimated using another valuation technique
952,difference transaction cost characteristic asset,transaction cost characteristic asset liability rather specific transaction differ depending entity enters transaction asset liability
953,characteristic asset,location characteristic asset price principal market adjusted cost would incurred transport asset current location market
954,fair value measurement nonfinancial asset,fair value measurement nonfinancial asset take account market participant ability generate economic benefit using asset highest best use selling another market participant would use asset highest best use
955,definition use legally permissible,use legally permissible take account legal restriction use asset market participant would take account pricing asset
956,best use nonfinancial asset,however entity current use nonfinancial asset presumed highest best use unless market factor suggest different use market participant would maximise value asset
957,purpose ,protect competitive position reason entity may intend use acquired nonfinancial asset actively may intend use asset according highest best use
958,best use nonfinancial asset,highest best use nonfinancial asset establishes valuation premise used measure fair value asset follows highest best use nonfinancial asset might provide maximum value market participant use combination asset group combination asset liability
959,case even fair value measurement assumes highest best use,case even fair value measurement assumes highest best use asset use combination asset asset liability fair value measurement assumes market participant already hold complementary asset associated liability
960,valuation premise concept nonfinancial asset, b3 describes application valuation premise concept nonfinancial asset
961,definition fair value measurement,fair value measurement assumes financial nonfinancial liability entity equity instrument transferred market participant measurement date
962,basis conclusion,even observable market provide pricing information transfer liability entity equity instrument might observable market item held party asset
963,objective fair value measurement,case entity maximise use relevant observable input minimise use unobservable input meet objective fair value measurement estimate price orderly transaction transfer liability equity instrument would take place market participant measurement date current market condition
964,fair value liability equity instrument,quoted price transfer identical similar liability entity equity instrument available identical item held another party asset entity measure fair value liability equity instrument perspective market participant hold identical item asset measurement date
965,best way measure fair value liability equity instrument,observable price available using another valuation technique income approach
966,objective ,unit account liability combined package objective measure fair value issuer liability fair value combined package
967,basis conclusion,quoted price transfer identical similar liability entity equity instrument available identical item held another party asset entity measure fair value liability equity instrument using valuation technique perspective market participant owes liability issued claim equity
968,would amount market participant would receive enter issue identical,amount market participant would receive enter issue identical liability equity instrument using assumption market participant would use pricing identical item principal market issuing liability equity instrument contractual term
969,definition nonperformance risk mean,nonperformance risk includes may limited entity credit risk
970,effect credit risk liability,measuring fair value liability entity take account effect credit risk factor might influence likelihood obligation fulfilled
971,difference credit enhancement liability,credit enhancement accounted separately liability issuer would take account credit standing third party guarantor measuring fair value liability
972,effect restriction prevents transfer liability,effect restriction prevents transfer liability entity equity instrument either implicitly explicitly included input fair value measurement
973,difference separate input adjustment existing input,result restriction included transaction price separate input adjustment existing input required transaction date reflect effect restriction transfer
974,fair value financial liability demand feature,fair value financial liability demand feature le amount payable demand discounted first date amount could required paid
975,definition fair value,entity manages group financial asset financial liability basis net exposure either market risk credit risk entity permitted apply exception ifrs measuring fair value
976,exception company,entity permitted use exception paragraphonly entity following manages group financial asset financial liability basis entity net exposure particular market risk credit risk particular counterparty accordance entity documented risk management investment strategy provides information basis group financial asset financial liability entity key management personnel defined ias24 related party disclosure required elected measure financial asset financial liability fair value statement financial position end reporting period
977,exception paragraphpertain,exception paragraphdoes pertain financial statement presentation
978,definition exception,entity us exception apply accounting policy including policy allocating bidask adjustment credit adjustment applicable consistently period period particular portfolio
979,definition financial asset,6 reference financial asset financial liability paragraphsandshould read applying contract within scope accounted accordance ifrs9 regardless whether meet definition financial asset financial liability ias32 financial instrument presentation
980,exception paragraphto measure fair value group financial asset,using exception paragraphto measure fair value group financial asset financial liability managed basis entity net exposure particular market risk entity apply price within bidask spread representative fair value circumstance entity net exposure market risk
981,exception mean,using exception paragraphan entity ensure market risk entity exposed within group financial asset financial liability substantially
982,duration entity exposure particular market risk,similarly duration entity exposure particular market risk arising financial asset financial liability substantially
983,effect exception  48,using exception paragraphto measure fair value group financial asset financial liability entered particular counterparty entity include effect entity net exposure credit risk counterparty counterpartys net exposure credit risk entity fair value measurement market participant would take account existing arrangement mitigate credit risk exposure event default
984,entity sell asset price paid acquire,entity necessarily sell asset price paid acquire
985,value transaction,many case transaction price equal fair value
986,definition fair value,determining whether fair value initial recognition equal transaction price entity take account factor specific transaction asset liability
987,ifrs liability,another ifrs requires permit entity measure asset liability initially fair value transaction price differs fair value entity recognise resulting gain loss profit loss unless ifrs specifies otherwise
988,purpose paragraphsand 74,entity use valuation technique appropriate circumstance sufficient data available measure fair value maximising use relevant observable input minimising use unobservable input
989,main aspect valuation technique,three widely used valuation technique market approach cost approach income approach
990,definition fair value measurement,fair value measurement point within range representative fair value circumstance
991,purpose ,transaction price fair value initial recognition valuation technique us unobservable input used measure fair value subsequent period valuation technique calibrated initial recognition result valuation technique equal transaction price
992,happens example following event take place,might case example following event take place new market develop new information becomes available information previously used longer available valuation technique improve market condition change
993,definition change accounting estimate,revision resulting change valuation technique application accounted change accounting estimate accordance ias8
994,purpose paragraphsand 62,valuation technique used measure fair value maximise use relevant observable input minimise use unobservable input
995,type market might observable asset liability eg financial instrument,example market input might observable asset liability include exchange market dealer market brokered market principaltoprincipal market
996,definition fair value measurement,however fair value measurement incorporate premium discount inconsistent unit account ifrs requires permit fair value measurement
997,difference bid price ask price,asset liability measured fair value bid price ask price price within bidask spread representative fair value circumstance used measure fair value regardless input categorised within fair value hierarchy
998,purpose ifrs,ifrs preclude use midmarket pricing pricing convention used market participant practical expedient fair value measurement within bidask spread
999,purpose fair value hierarchy,increase consistency comparability fair value measurement related disclosure ifrs establishes fair value hierarchy categorises three level input valuation technique used measure fair value
1000,definition fair value,case input used measure fair value asset liability might categorised within different level fair value hierarchy
1001,level fair value hierarchy,example fair value measurement developed using present value technique might categorised within level leveldepending input significant entire measurement level fair value hierarchy within input categorised
1002,definition fair value,observable input requires adjustment using unobservable input adjustment result significantly higher lower fair value measurement resulting measurement would categorised within levelof fair value hierarchy
1003,levelinputs,levelinputs quoted price active market identical asset liability entity access measurement date
1004,best way measure fair value,quoted price active market provides reliable evidence fair value used without adjustment measure fair value whenever available except specified  79
1005,emphasis within levelon,therefore emphasis within levelis determining following principal market asset liability absence principal market advantageous market asset liability whether entity enter transaction asset liability price market measurement date
1006,fair value measurement mean,however quoted price adjusted new information adjustment result fair value measurement categorised within lower level fair value hierarchy
1007,fair value position single asset liability,entity hold position single asset liability asset liability traded active market fair value asset liability measured within levelas product quoted price individual asset liability quantity held entity
1008,definition levelinputs,levelinputs input quoted price included within levelthat observable asset liability either directly indirectly
1009,input observable asset liability,input quoted price observable asset liability example interest rate yield curve observable commonly quoted interval implied volatility credit spread
1010,factor affect levelinputs,adjustment levelinputs vary depending factor specific asset liability
1011,fair value measurement,adjustment levelinput significant entire measurement might result fair value measurement categorised within levelof fair value hierarchy adjustment us significant unobservable input
1012,use levelinputs particular asset liability, b35 describes use levelinputs particular asset liability
1013,levelinputs asset liability,levelinputs unobservable input asset liability
1014,fair value objective,however fair value measurement objective remains ie exit price measurement date perspective market participant hold asset owes liability
1015,definition fair value measurement,measurement include adjustment risk would represent fair value measurement market participant would include one pricing asset liability
1016,objective fair value measurement,unobservable input developed manner described considered market participant assumption meet objective fair value measurement
1017,use levelinputs particular asset liability, b36 describes use levelinputs particular asset liability
1018,effect measurement profit loss comprehensive income period,recurring fair value measurement using significant unobservable input effect measurement profit loss comprehensive income period
1019,definition class liability,ie64 exampledescription nature class liability measured fair value example text ifrs13
