,question,answer
759,difference assessed value real estate personal property,assessed value real estate personal property necessarily equal property current market value
760,difference cost real estate cost building,accountant might use relationship appraised value allocate cost real estate cost land cost building
761,company balance sheet useful,appraised value useful company balance sheet report land building cost acquired report accumulated depreciation building
762,difference interim financial statement annual financial statement,unlike annual financial statement interim financial statement likely unaudited either condensed detailed depending distribution
763,definition intangible asset,intangible asset company valuable asset
764,longterm debt,accounting longterm debt generally refers company loan liability become due within one year balance sheet date
765,much mortgage loan,let assume company mortgage loan principal balance ofwithmonthly payment remaining
766,definition cost u,cost defined cost necessary get inventory item place ready sale
767,many day hr pay invoice,assume heating repair service provides service customer decemberand allows customerdays pay invoice 850
768,effect hr receiving 850,effect hr receiving theis increase current asset cash decrease current asset account receivable
769,rent expense,rent expense often monthly amount paid company use building
770,period cost,period cost cost used expires accounting period
771,definition product cost,think product cost clinging good produced
772,company monthly rent use asset involved selling function,company monthly rent use asset involved selling function rent office space equipment auto etc
773,difference product cost expense period,manufacturer rent manufacturing facility equipment rent product cost
774,cost flow assumption,lifo cost flow assumption recent cost inventory item first cost removed inventory reported cost good sold
775,difference cost good sold gross profit,however lifo cost flow assumption company report cost good sold report gross profit 14
776,much cost principle trademark account,due cost principle balance sheet may reporting trademark close 0
777,cost trademark,competitor offer purchase trademark company x formillion cash
778,allowance method,allowance method usually refers one two way reporting bad debt expense result company selling good service credit
779,simplest way determine amount bad debt expense,next let assume corporation focus bad debt expense
780,fully depreciated asset,fully depreciated asset depreciable asset additional depreciation expense recorded
781,difference fully depreciated asset salvage value,fully depreciated asset resulting book value zero reinforces accountant position depreciation process allocating asset cost expense process valuing asset
782,difference rounding amount company financial statement,rounding amount company financial statement mean dropping le important digit order emphasize important digit
783,best way round sale amount,rounding acceptable long rounded amount mislead current potential investor lender person making decision amount reported
784,long accounting period company financial statement issued,company financial statement relevance must issued within several week accounting period end
785,purpose report,reporting expense function mean classify report expense according type activity expense incurred
786,company pay invoice balance account payable reduced balance,company pay invoice balance account payable reduced balance company cash account reduced
787,account affected januarypayment,expense income statement account affected
788,common method depreciation corporation,regular corporation may use straightline method depreciation financial statement time using one internal revenue service faster depreciation method federal income tax return
789,much depreciation expense reported accounting year,example straightline depreciation method result full accounting year reporting depreciation expense 40000
790,long bond maturity,common bond matureor year date issued
791,current liability,bond maturing within one year balance sheet date reported current liability issuer bond must use current asset create current liability order pay bondholder bond mature
792,term amortizing cost,accountant refer amortizing cost
793,much interest expense debited month,using straightline amortization month corporation debit interest expense credit bond issue cost 200
794,income smoothing,income smoothing involves reducing fluctuation corporation earnings
795,meaning income smoothing,likely term income smoothing used mean reporting misleading earnings creative accounting aggressive interpretation accounting principle concept
796,term capitalize accounting,accounting term capitalize refers adding amount balance sheet asset
797,depreciation,term depreciate refers systematically moving part cost plant asset balance sheet depreciation expense income statement
798,difference capitalization interest cost building,building put service building cost depreciated useful life
799,designer content writer reported asset firm balance sheet,similarly immensely talented designer content writer employed highly profitable internet marketing firm reported asset firm balance sheet cost principle
800,difference balance sheet stockholder equity section,line generally appears liability stockholder equity section direct reader attention disclosure included note financial statement
801,definition liability,unless liabilityloss remote item signicant must disclosed
802,doubledecliningbalance method depreciation,mean greater percentage depreciable asset cost expensed early year asset life therefore le later year
803,repair maintenance expense low depreciation expense high,word early year asset life repair maintenance expense low depreciation expense high
804,purpose article,assume corporation recently borrowedin form note payable due two year interest ofper year paid quarterly
805,accounting cost flow agree physical flow good,however accounting cost flow agree physical flow good
806,difference cost flow assumption flow physical unit,company allowed use cost flow assumption different flow physical unit
807,definition interest expense,interest expense cost borrowing money
808,section income statement retailer report interest expense,retailer monthly income statement reportof interest expense nonoperating section appears amount operating income shown
809,amount income tax paid corporation,u gaap requires corporation reportdisclose amount income tax paid
810,amount income tax paid corporation,amount income tax paid corporation typically shown bottom statement cash flow corporation note financial statement
811,long asset service earning revenue,word expected number year business asset service earning revenue
812,long company depreciation income tax return agree,one reason given year depreciation company income tax return agree depreciation reported financial statement
813,definition depletion,accounting depletion refers expensing company cost natural resource
814,definition depletion,example depletion involve logical expensing company cost natural resource oil natural gas coal metal stone etc
815,reason cash received today invested immediately begin growing value,reason cash received today invested immediately begin growing value
816,value 11000,assume company provides consulting service today agrees receiveone year later
817,accountant ignore time value money routine account receivable,however concept materiality costbenefit allow accountant ignore time value money routine account receivable account payable credit term ofordays
818,definition significant event,instance company balance sheet date december2023 time financial statement distributed january2024 possible significant event occurs information becomes known important user decemberfinancial statement
819,best way illustrate first situation,illustrate first situation assume customer owes corporationon decemberand corporation believed customer receivable would collected full
820,difference actual cost standard cost,standard costing used manufacturer general ledger account inventory cost good sold contain standard cost
821,cost principle corporation,comply gaap cost principle corporation must allocate theto inventory cost good sold reporting financial result
822,debtor property located,lien likely filed county government office debtor property located
823,accountant new information released,based new information accountant write adjusting entry debit bad debt expense forand credit allowance doubtful account 15000
824,definition manufacturing overhead,manufacturing overhead cost also known factory overhead cost burden indirect manufacturing cost indirect product cost
825,arm length transaction,arm length transaction exists two independent party attempting get best deal possible
826,company inform daughter house cost 225000,hand daughter company owner want company build house person company may inform daughter house cost 225000
827,deferred asset,might consider deferred asset prepaid expense qualify reported current asset
828,purpose sentence,assume electric utility spentfor project abandoned
829,order good physically removed inventory agree order,important understand cost flow agree order good physically removed inventory
830,summary significant accounting policy used corporation,inventory method cost flow assumption used corporation found corporation summary significant accounting policy contained annual report security exchange commission form 10k
831,difference present value future cash amount,accounting present value refers amount discounting future cash amount present
832,difference interest income discount receivable,wsc earns theof interest next two year credit interest income debit discount receivable
833,product cost retailer,example retailer paysto supplier paysto get delivered warehouse retailer product cost 50
834,manufacturer product cost,manufacturer product cost includes cost product raw material plus cost converting raw material product
835,good sold product cost removed inventory appear,good sold product cost removed inventory appear income statement cost good sold
836,cost retailer andor manufacturer,selling general administrative interest cost retailer andor manufacturer product cost
837,difference fifo lifo,first cost inventory item never change difference whether fifo lifo used
838,difference two tax rule,tax rule also allow either fifo lifo require cost flow assumption used company tax return company financial statement
839,preferred method capital budgeting decision,since investment impact many year preferred method capital budgeting decision use discounted cash flow
840,form 10k,form 10k required annual report filed u
841,review form 10k,corporation website select investor relation page select annual report report sec
842,purchase discount lost account,account purchase discount lost general ledger account used company record vendor invoice using net method
843,policy retailer,assume retailer policy always pay vendor legitimate invoice within early payment discount period discount offered
844,recipient external financial statement,external financial statement distributed outside company management
845,financial statement corporation,external financial statement u
846,definition nonoperating activity,transaction outside company main business activity referred nonoperating activity
847,difference sale old delivery van sale merchandise,therefore sale van included sale merchandise
848,gain sale van,since transaction main business activity retailer since theof cash received greater net cost ofbeing removed account retailer report nonoperating item described gain sale van 1500
849,obsolete inventory,obsolete inventory refers product company purchased produced sold
850,accounting rule require cost obsolete inventory item reduced net,accounting rule require cost obsolete inventory item reduced net realizable value
851,value obsolete item,since value obsolete item may continue decrease wise dispose item price soon possible
852,definition term opportunity cost,refer opportunity cost opportunity lost
853,much money lose friend work,however friend work lost opportunity earn additional 4500
854,calendar year,calendar year theconsecutive month january december
855,year u corporation file personal income tax return,individual file personal income tax return based calendar year januarythrough december 31
856,noncalendar accounting year,example u
857,accounting,accounting recording financial transaction along storing sorting retrieving summarizing presenting result various report analysis
858,definition report,external report must prepared accordance generally accepted accounting principle often referred gaap u gaap
859,purpose accounting,another part accounting focus providing company management information needed keep business financially healthy
860,difference dividend expense,important note dividend declared paid corporation expense corporation
861,ratio account receivable turnover,calculation account receivable turnover ratio credit sale year divided company average amount account receivable throughout year
862,many time year company account receivable turnover change,result account receivable turnover ratio credit sale ofdivided average amount account receivable oftimes year
863,access company detail,therefore access company detail review detailed aging account receivable discover past due account
864,current ratio,current ratio proportion quotient relationship amount company current asset amount current liability
865,best way compare company current ratio ratio earlier,also wise compare company recent current ratio ratio earlier date
866,definition cash operating activity,cash operating activity focus cash inflow outflow company main business activity buying selling merchandise providing service etc
867,u cash operating activity presented using either,u
868,financial reporting include,financial reporting includes company communication financial information people outside company
869,liquidity ratio,liquidity ratio financial ratio indicates whether company current asset sufficient meet company obligation become due
870,difference company balance sheet earnings,generally corporation earns revenue increase current asset increase retained earnings component stockholder equity
871,effect sale account corporation retained earnings,however sale account temporary account effect increasing corporation retained earnings
872,compilation report,compilation report accompany compiled financial statement indicate financial statementsare representation company management andhave reviewed audited therefore accountant offer opinion assurance financial statement
873,bank require borrower incur expense cpa review,bank require borrower incur expense cpa review audit
874,statement comprehensive income,statement comprehensive income one five financial statement required complete set financial statement distribution outside corporation
875,consolidated financial statement,consolidated financial statement financial statement group separate legal entity controlled one company
876,purpose consolidated balance sheet nep,consolidated balance sheet nep report cash receivables plant etc
877,debt equity ratio,debt equity ratio debtequity ratio result dividing corporation total liability total amount stockholder equity
878,much debt equity ratio corporation,corporation total liability ofand stockholder equity ofwill debt equity ratio 31
879,rolling budget,rolling budget often refers company operating budget present future monthly budget nextmonths
880,benefit rolling budget,benefit rolling budget company management always budget look forward one full year
881,tax profit margin ratio,tax profit margin ratio express company net income earnings percent company net sale
882,statement stockholder equity,financial statement summarizes one page change occurred stockholder equity account accounting year
883,difference direct method indirect method,summary difference two method preparing statement cash flow please click following difference direct method indirect method
884,long company receives money,juneuntil company receives money company account receivable
885,common method calculating accelerated depreciation,sumoftheyearsdigits depreciation one method calculating accelerated depreciation
886,value sum digit year asset,instead adding individual digit year asset useful life following formula used compute sum digit n divided bywhere n useful life year
887,bad debt,term bad debt usually refers account receivable collected
888,deferred expense,accomplish deferred expense reported balance sheet asset contra liability moved balance sheet income statement expense
889,name account used recording current period expense associated,provision doubtful debt name account used recording current period expense associated loss normal credit sale appear operating expense company income statement
890,difference amount last period ending inventory amount,inventory change difference amount last period ending inventory amount current period ending inventory
891,alternative method used introductory accounting textbook,alternative method used introductory accounting textbook beginning inventory net purchase ofof cost good available ending inventory cost good sold 285000
892,utility bill,utility bill invoice received company natural gas electricity water sewer charge company used previous month period time
893,utility bill available retailer record accrual adjusting entry,utility bill december usage available time retailer financial statement prepared retailer record accrual adjusting entry debit utility expense credit accrued utility payable december estimated amount
894,amount invoice collected,estimated amount collected credit balance contra asset account allowance doubtful account
895,much balance company account receivable,result balance sheet reporting account receivable 82000
896,noncash expense,noncash expense expense reported income statement current accounting period related cash payment took place another accounting period
897,common example noncash expense,depreciation expense referred noncash expense
898,allowance uncollectible account,income statement account bad debt expense part adjusting entry increase balance allowance uncollectible account
899,company delaying reporting bad debt expense account receivable,hence income statement delaying reporting bad debt expense income statement account receivable actually written uncollectible
900,deferral,deferral often refers amount paid received amount reported current income statement since expense revenue future accounting period
901,much insurance premium deferred liability account,remainingis deferred reporting current asset prepaid insurance decemberbalance sheet
902,principal payment required loan come due,principal payment required loan come due
903,interest rate month,assume julya company borrowswith annual interest rate 12
904,deferred cost,deferred cost cost already recorded company account least cost expensed future accounting period
905,reason company balance sheet reportas current asset,therefore decemberthe company balance sheet reportas current asset prepaid insurance
906,meaning bad debt doubtful debt,accounting term bad debt doubtful debt usually refer amount owed company customer purchased good service amount likely uncollectible
907,company current asset account,accounting purpose company establish current asset account entitled allowance doubtful account allowance uncollectible account
908,promissory note,note payable note receivable associated written note promise repay amount borrowed plus interest
909,bank record thepromissory note,assume local retailer borrowsfrom bank sign promissory note due six month
910,deferral adjusting entry,deferral adjusting entry pertains transaction already recorded general ledger account
911,company current asset prepaid expense,januarythe company report month january maintenance expense ofand current asset prepaid expense debit balance 11000
912,maintenance service company current liability account,maintenance service company recorded transaction decemberwith debit cash forand credit current liability account deferred revenue 12000
913,short answer question,short answer corporation financial statement prepared using accrual method accounting employee payroll record internal revenue service requires cash method accounting
914,retailer begin operation,illustrate let assume new retailer begin operation december 27
915,amount reported irs,retailer payroll department must report irs wage paid
916,meaning financial leverage,use financial leverage control greater amount asset cause return owner cash investment amplified
917,much money use buyacres land,sue usesof cash borrowsto purchaseacres land total cost 1500000
918,much land mary sue sell one year,example let assume one year land owned mary land owned sue increased value byand mary sue sold land investment market value
919,debt total asset ratio,note debt includes loan bond payable
920,debt total asset ratio corporation,let assume corporation hasmillion total assetsmillion total liability andmillion stockholder equity
921,length operating cycle used place oneyear time period,company operating cycle longer one year length operating cycle used place oneyear time period
922,vertical analysis,vertical analysis express amount financial statement percentage another amount
923,percentage commonsize balance sheet allow compare small company,percentage commonsize balance sheet allow compare small company balance sheet large company balance sheet
924,much cost good sold,cost good sold amount isit presented 78
925,meaning horizontal analysis,horizontal analysis also referred trend analysis
926,difference cost good sold net sale,easy detect year cost good sold increasing faster pace company net sale
927,current asset,however company operating cycle longer one year asset expected turn cash within longer operating cycle current asset
928,many day take collect account receivable,day sale account receivable ratio tell number day took average collect company account receivable past year
929,many day year sale account receivable divided,day sale account receivable calculated follows number day year divided account receivable turnover ratio past year
930,much money account receivables aging,upon checking company belief thatof receivables never collected
931,quick ratio,quick ratio calculated dividing amount quick asset bythe amount current liability
932,reason inventory might quick turn cash,reason inventory might quick turn cash
933,definition security deposit,landlord receives hold security deposit report amount liability
934,landlord liability account,landlord debit cash forand credit liability account refundable security deposit 1000
935,net working capital,net working capital amount remaining subtracting company total amount current liability total amount current asset
936,reason decrease current liability,company obtains longterm loan replace current liability current liability decrease current asset change
937,depreciation expense asset recorded,order know asset book value time sale depreciation expense asset must recorded right date asset sold
938,much cash received company sale old delivery van,since theof cash received company greater van book value ofthere gain sale van 2600
939,cause negative cash balance company general ledger,negative cash balance result cash account company general ledger credit balance
940,logic company check,logic company likely issued check reduce account payable
941,construction workinprogress account,account construction workinprogress debit balance reported balance sheet part company noncurrent longterm asset section entitled property plant equipment
942,long take expand warehouse,let assume company expanding warehouse project expected take four month complete
943,difference expenditure get machine back previous working condition,hand expenditure get machine back previous working condition capitalized
944,term carrying amount,term carrying amount often used valuation account associated another general ledger account
945,many day year company sell inventory,calculation day sale inventory number day year divided inventory turnover ratio
946,many day company inventory,usingas number day year company day sale inventory wasdays
947,meaning term net realizable value,net realizable value cash amount company expects receive
948,resulting net realizable value account receivable,account receivable debit balance ofand allowance doubtful account proper credit balance ofthe resulting net realizable value account receivable 92000
949,drawing,webb draw l
950,account l webb draw money,webb drawsof cash business accounting entry debit ofto account l
951,impact owner drawing statement cash flow,owner drawing cash also affect financing activity section statement cash flow
952,principal part note receivable expected collected,principal part note receivable expected collected within one year balance sheet date reported current asset section lender balance sheet
953,happens company borrowsfrom bank,company borrowsfrom bank sign promissory note payinterest quarterly principal amount inmonths bank debit current asset account note receivable credit cash customer deposit principal amount 100000
954,long company pay principal,company industry operating cycle longer one year report amount principal due within length operating cycle current liability
955,current liability section balance sheet,remaining amount principal due balance sheet date reported noncurrent longterm liability
956,working capital turnover ratio,working capital turnover ratio calculated follows net annual sale divided average amount working capital year
957,working capital turnover ratio,financial ratio compare working capital turnover ratio company industry company past planned working capital turnover ratio
958,definition plant asset,plant asset related accumulated depreciation reported company balance sheet noncurrent asset section entitled property plant equipment
959,par value share common stock,case common stock par value per share usually small amount 0
960,par value share common stock,let assume share common stock par value 0
961,mortgage loan payable,account mortgage loan payable contains principal amount owed mortgage loan
962,much principal due mortgage loan,remaining principal reported longterm liability since amount due within one year balance sheet date
963,difference amount received corporation issuing bond par value,premium discount bond payable difference amount received corporation issuing bond par value face amount bond
964,much interest expense reported bond yet amortized,premium discount bond payable yet amortized interest expense reported immediately par value bond liability section balance sheet
965,difference book value fair market value,important realize book value fair market value accountant historical cost principle matching principle
966,book value corporation bond,corporation balance sheet report stockholder equity ofthe corporation book value amount
967,current market value indicate current market value,book value indicate current market value
968,percentage sale commission revenue,company person earning receiving commission commission revenue
969,difference accrual basis accounting revenue basis,accrual basis accounting commission received order reported revenue
970,difference commission owed commission payable,company owes commission recent sale yet paid recorded accrual adjusting entry made included commission expense reported income statement also reported commission payable balance sheet
971,reason company want financial income tax reporting use lifo,company accounting system us fifo company want financial income tax reporting use lifo due persistent increase cost inventory item
972,definition fixed asset,word fixed indicates asset used consumed sold current accounting year
973,connection inventory cost good sold,show connection inventory cost good sold let assume retailer sell one product
974,much acid test ratio,company current liability amount tothe acid test ratio 1
975,simplest way record issuance bond,assume corporation issuesmillion bond payable annual interest rate 5
976,many time company sold inventory,result average number time company inventory sold
977,inventory turnover ratio,calculation inventory turnover ratio cost good sold year divided average inventory samemonths
978,many time company inventory turnover ratio change last year,result company inventory turnover ratio cost good sold ofdivided average inventory oftimes recent year
979,cost company inventory,overstating inventory mean reported amount cost company inventory greater actual true cost based accounting rule
980,meaning common stock,owner common stock referred common stockholder common shareholder simply stockholder shareholder
981,percentage corporation owned stockholder,stockholder ownsshares common stock stockholder ownsof corporation
982,effect interest expense corporation bond debt,interest corporation bond debt expense corporation reduces corporation net income
983,difference interest line income tax expense,thewill appear corporation income statement interest expense reduce line net income income tax expense line income tax expense
984,difference fifo lifo,company may elect either fifo fifo cost flow assumption
985,many unit sold year,thus year retailer purchasedunits total actual cost 3870
986,debt ratio,hence formula debt ratio total liability divided total asset
987,corporation debt ratio,corporation debt ratio 0
988,difference expected future cost repairing replacing product,note expected future cost repair replace matched sale revenue period sale
989,much labor part automobile manufacturer spend repair,assume automobile manufacturer found spendsin labor part necessary repair covered two year warranty
990,difference current ratio quick ratio,illustrate difference current ratio quick ratio assume company balance sheet report current asset ofand current liability 40000
991,liquidity ratio,liquidity usually refers company ability pay bill become due
992,order liquidity,generally asset expected turn cash within one year reported balance sheet section heading current asset
993,long take convert inventory cash,account receivable may converted cash intodays
994,current ratio affect liquidity company,liquidity depends speed inventory converted cash
995,difference number share issued number share outstanding,number share treasury stock difference number share issued number share outstanding
996,many share common stock corporation buy,result decides purchaseshares itsshares common stock held stockholder
997,common way finance new power plant,example profitable public utility might finance half cost new electricity generating power plant issuing 30year bond
998,sinking fund part working capital corporation,therefore sinking fund current asset part corporation working capital
999,much abc corporation invest sinking fund,independent trustee invest corporation annual deposit goal sinking fund balance growing approximatelymillion time bond come due inyears
1000,difference capital expenditure cash flow,amount capital expenditure accounting period also reported cash flow statement negative amount investing activity section
1001,meaning term bond sinking fund,bond sinking fund noncurrent asset even fund contains cash
1002,day sale outstanding,account receivable collection period similar day sale outstanding day sale account receivable
1003,many day credit sale corporation past year,average credit sale per day approximatelyper day
1004,two metric used determining company ability meet,metric useful determining company ability meet current shortterm obligation
1005,difference mortgage principal balance longterm liability,possible mortgage principal balance ofwill mean current liability ofand longterm liability 135000
1006,change affect net income,since oci item affect net income cause change corporation retained earnings
1007,difference current ratio working capital,illustrate difference current ratio working capital assume company balance sheet report current asset ofand current liability 40000
1008,root cause discount bond payable,root cause bond discount bond stated interest rate lower market interest rate similar bond
1009,difference initial debit balance credit balance discount bond pay,life bond initial debit balance discount bond payable decrease amortized bond interest expense
1010,direct material bakery product,direct material bakery product likely flour sugar egg milk vegetable oil spice ingredient listed bakery recipe
1011,working capital ratio,working capital ratio defined amount company current asset divided amount current liability
1012,much cash company,whether ratio good bad sufficient insufficient etc
1013,term solvency mean,company solvency also risk unable operate profitably
1014,definition leverage,accounting finance leverage use significant amount debt purchase asset operate company acquire another company etc
1015,first step record depreciation equipment sold,assume company sell one piece equipment cost ofand accumulated depreciation ofat end previous accounting year
1016,effective interest rate bond,effective interest rate bond rate discount bond future interest payment bond maturity value present value equal bond current market value
1017,much cash investor receiving every six month,cash investor receiving isevery six month foryears thenat end ofyears
1018,common term used refer land building machinery fixed asset,common people refer land building machinery fixed asset
1019,definition fixed expense,depreciation expense associated company building machinery considered fixed cost fixed expense
1020,much fixed manufacturing overhead cost per unit applied company,situation fixed manufacturing overhead cost per unit applied rate ofper unit
1021,ratio company annual net sale net amount,fixed asset turnover ratio show relationship company annual net sale net amount fixed asset
1022,average amount net sale corporation,assume recent year corporation net sale ofmillion
1023,much money equipment account afteryears,therefore afteryears equipment account cost ofand accumulated depreciation account credit balance 150000
1024,return asset ratio regular corporation,return asset ratio regular corporation computed using tax earnings andor tax earnings
1025,average return asset year,period companysmonthly balance sheet reported average ofin total asset
1026,total asset turnover ratio,total asset turnover ratio indicates relationship company net sale specified year average amount total asset samemonths
1027,average amount asset reported themonthly balance sheet company,period company total asset reported itsmonthly balance sheet averaged 1400000
1028,much inventory reported december 31,using perpetual lifo company cost good sold inventory reported cost 32
1029,amount comprehensive income,amount reported net cumulative amount item reported comprehensive income period statement comprehensive income
1030,value net working capital company,amount may sufficient company inadequate company
1031,difference company sell fastmoving product online customer,contrast another company sell fastmoving product online customer paying credit card liquidity even small amount net working capital
1032,difference two account,balance three purchase account combined resulting amount known net purchase
1033,alternative format cost good sold,alternative format net purchase plus decrease inventory minus increase inventory cost good sold
1034,general ledger,noted company using periodic inventory system general ledger account often sophisticated inventory system outside general ledger tracking item purchase produce sell hand
1035,many day item inventory turning,word fast selling item turning everydays majority item turning average everydays 3653
1036,calculate cost company ending inventory,one method calculating cost company ending inventory tophysically count quantity item inventory thenmultiply quantity item actual unit cost
1037,common method used interim financial statement,second method used interim financial statement calculate ending inventory using quantity company inventory system
1038,much gross profit method used calculate estimated cost ending inventory,third approach use gross profit method calculate estimated cost ending inventory used interim financial statement
1039,liquidation,liquidation term commonly used describe company selling part business cash selling asset order pay debt process winding closing business
1040,much corporation pay tax,monthly financial statement corporation likely report depreciation expense offormonths
1041,quick ratio company,total company quick asset compared total current liability calculation company quick ratio
1042,gross margin ratio,gross margin ratio percentage resulting dividing amount company gross profit amount net sale
1043,true,note gross margin ratio vary industry
1044,definition contribution margin,accounting contribution margin defined revenue minus variable expense
1045,gross margin company,gross margin gross profit percentage gross profit ofdivided net sale 46
1046,company contribution margin,company fixed expense 390000
1047,much depreciation expense report company monthly income,using straightline method depreciation depreciation expense reported company monthly income statement 1000
1048,change inventory reported,change inventory reported adjustment company net income cash operating activity section scf prepared using indirect method
1049,contra revenue account,contra revenue account revenue account expected debit balance
1050,contra asset account,contra asset account asset account account balance credit balance
1051,difference period cost product cost,hence sga expense said period cost opposed part product cost
1052,difference interest expense nonoperating expense,sga include interest expense since interest expense reported nonoperating expense
1053,difference sale commission cost good sold,therefore sale commission assigned cost good held inventory cost good sold
1054,difference cash dividend cash dividend,cash dividend paid stockholder distribution corporation earnings
1055,difference earnings available common stock weighted average number,earnings available common stock divided weightedaverage number share common stock resulting earnings per share appear income statement
1056,cost good sold,manufacturer sell product forand cost good sold 28
1057,difference gross margin percentage,profit margin amount percent selling general administrative interest expense subtracted
1058,gross margin percentage company,gross margin individual product could indicate management product promoted aggressively product phased
1059,definition profit loss statement,profit loss statement pl name sometimes used describe company income statement statement income statement operation statement earnings
1060,key element profit loss statement,following example key element profit loss statement officially known income statement
1061,definition retailer operating income,retailer operating income sale minus cost good sold selling administrative expense
1062,retail operating income,using amount example retailer operating income sale ofminus cost good sold ofminus fixed variable selling administrative expense 20000
1063,difference rental cost building used manufacturing rent,rental cost building used manufacturing part manufacturing overhead
1064,difference manufacturing rent cost good sold,unit product sold manufacturing rent included product cost part cost good sold reported income statement
1065,definition nonoperating expense,nonoperating expense loss often reported income statement subtotal income operation often appear caption income
1066,definition nonoperating expense,common example nonoperating expense interest expense incurred retailer manufacturer
1067,definition term cost sale,accounting acronym co could indicate either cost sale cost service
1068,difference two statement,example income statement apple intuit report cost product cost service
1069,depreciation,depreciation nonoperating expense asset depreciated used peripheral incidental activity organization
1070,dividend reduce,since dividend expense dividend reduce corporation net income
1071,corporation reduce retained earnings stockholder equity,dividend reduce corporation net income reported income statement dividend reduce corporation retained earnings stockholder equity
1072,difference dividend earnings available common stockholder,corporation preferred stock outstanding required preferred stock dividend shown deduction earnings available common stockholder
1073,recent year earnings income tax expense,recent year earnings wereand hadshares common stock januarythrough juneandshares julythrough december 31
1074,cost good available sale year,nonmanufacturing company using periodic inventory system general ledger cost good available year sum following cost beginning inventory cost current year net purchase
1075,sga expense may appear separate amount,sga expense may appear separate amount depreciation amortization research development
1076,difference direct method indirect method presenting statement cash,main difference direct method indirect method presenting statement cash flow involves cash flow operating activity
1077,typical method presenting corporation cash flow operating activity,indirect method presenting corporation cash flow operating activity used section scf begin corporation net income
1078,common method presenting corporation cash flow operating activity,direct method presenting corporation cash flow operating activity used amount net income starting point
1079,change longterm liability stockholder equity short,financing activity reported statement cash flow involve change longterm liability stockholder equity shortterm borrowing period shown heading scf
1080,main section statement cash flow,investing activity often refers cash flow investing activity one three main section statement cash flow
1081,meaning statement,company make longterm investment security acquires property equipment vehicle expands facility etc
1082,difference interest expense cash flow statement,since company use indirect method preparing cash flow statement company interest expense contained within company net income first amount presented cash flow operating activity
1083,effect reducing inventory company cash balance,decrease inventory would reported positive amount since reducing inventory positive effect company cash balance
1084,difference interest bank loan net income,interest bank loan usually expense accounting period interest incurred
1085,common way report interest cash flow,usually done supplementary information end statement cash flow note financial statement
1086,longterm asset,longterm asset also referred noncurrent asset asset generally expected converted cash within one year balance sheet date
1087,money company receives selling one longterm asset,money company receives selling one longterm asset referred proceeds
1088,difference amount proceeds book value longterm,company sell one longterm asset amount proceeds greater book value carrying value longterm asset time sale difference gain sale disposal
1089,difference net income operating activity section cash flow statement,since gain sale included net income gain shown deduction net income reported operating activity section cash flow statement
1090,short term bank loan,shortterm bank loan generally loan must repaid within one year date balance sheet
1091,interest paid shortterm bank loan,interest paid shortterm bank loan included operating activity section statement cash flow
1092,difference interest note payable interest note payable,interest note payable reported income statement interest expense
1093,corporation prepare cash flow statement using direct method,corporation prepares cash flow statement using direct method amount interest paid appear separate line cash flow operating activity
1094,difference net loss net loss,net loss occurs company revenue gain le operating expense expense loss
1095,definition positive cash flow,section scf find reason company accounting net loss positive net cash inflow
1096,difference depreciation expense cash payment,example company purchased equipment previous year forand depreciating equipment seven year depreciation expense year income statement might 300000
1097,indirect method accounting,statement cash flow prepared using indirect method begin company net income accounting period
1098,reason company cash balance increased reported amount,result company cash balance increased reported amount net income
1099,difference cash amount ofand accrual accounting net income,hence positive adjustment ofconverts accrual accounting net income ofto cash amount 5900
1100,positive adjustment,increase account payable positive adjustment paying bill good company cash balance
