question,answer
What is the definition of noncumulative preferred stock?,Noncumulative preferred stock refers to the preferred stock shares which usually have dividends starting all over in every year.
What is the difference between off shoring and outsourcing?,Off shoringis the type of outsourcing where the company outsources its functions to be done in another country.
What is the definition of oligopoly?,The oligopoly refers to the market structure where the hold is held in the hands of a few firms.
What is the definition of a book?,"For example, a book has several different stories of different authors will be called omnibus."
What is an overdraft?,"In simple words, an overdraft allows the individual to continue withdrawals even with zero funds."
What is a participatory management?,Participative management is a decentralized form of management.
what is a pension agreement?,"Basically, Pension Parachute is a pension agreement which states that in the case of hostile take over the raiding firm will not be able to use pension assets to finance the acquisition and the pension plan assets are only available to provide benefit to the participants of the plan."
What is performance management?,Performance management is the process which focuses on achieving targets and goals in an efficient and effective manner.
What is the definition of perpetual debenture?,It is defined as the bond with no maturity date.
What is the purpose of the personnel selection process?,"Personnel selection is the process used for hiring individuals from the pool of job applicants having the required qualifications, knowledge, skills and competence to fill the vacant positions in the organization."
"What is the definition of ""petty corruption""?","The term ""petty corruption"" is used for the corruption which are done on the small scale or the corruption which is done on the low-level."
what does pledge mean?,The word pledge means a promise or such a thing which makes you bound to do something.
is predatory lending considered as the legal practice?,Predatory lending is not at all considered as the legal practice.
What does preemptive rights mean?,Preemptive rights refer to shareholders who possess the right to maintain some share of ownership of an organization through the buying of the proportional number of shares to the percentage of shares they already have in the corporation.
what is preferred stock?,Preference shares (preferred shares) refer to the stock which proffers a specific dividend being paid prior to the payment of any dividends which are paid to the common shareholders.
What is the phenomenon which marks the repayment of loan before time and in early installments?,The borrower normally repays the loan in order to save oneself form the high interest rates and the repayment is observed in cases of the refinancing by the borrower.
What is the definition of a private company?,The ownership of the company is private which is a reason why it is not required to meet the necessary rules of public companies.
What is the difference between private and collective property?,The private property is even different from the collective property which is owned by a group of individuals.
What is a prospectus?,A prospectus is a legal document that is required by every company and is to be filed with the Securities and Exchange Commission to provide with the details of investments that are being offered to the public for sale.
What is the definition of protectionism?,Countries using protectionism when they feel that their industries are getting damage from unfair global competition.
What is a public corporation?,"Public company, also known as public corporation, is a company whose shares are traded publicly and such a company has plenty of shareholders."
What happens when an agreement is signed between two parties?,"In return to this favor provided by the party paying the loan for another, the second party has to agree upon the reimbursement of the amount at some later date but keeping this agreement the first and foremost priority."
What is the definition of quasi rent?,The term quasi rent is not new to the economists.
What is the purpose of this accounting policy?,This accounting policy is seldom done.
What is a form of security that sells like stocks through major exchanges?,"It is a form of security that sells like stocks through major exchanges and directly invested in real estate, either through the help of mortgages or through the properties."
what is a mortgage investment conduit?,REMIC is a special purpose vehicle or an SPV for issuance of mortgage-backed securities (MBS) or to pool in mortgage loans.
what is recapitalization?,Recapitalization is a term used to denote some sort of legal reorientation of the company’s capital structure.
What is the definition of recession?,"The word recession is mainly associated with a big decline in the economic activity of a country in terms of industrialization, employment and other such activities."
What is the purpose of the double taxation?,It is passed to the shareholders on a highly personal basis so that one can avoid the aspects of the double taxation to a certain extent.
What is the first thing that strikes the mind of the people in matters of the economy?,"In matters of the economy, the first thing that strikes the mind of the people is the security and the risk management."
What is the best way to conduct the long distance transactions?,"To conduct the long distance transactions, this system has come up with some well-organized terms and conditions so that it becomes beneficial for the management to get the transactions done."
What is the definition of risk management?,"And essentially, risk management happens any time a capitalist or fund manager examines and efforts to quantify the possibility for deprivation in an investment then carries the precise action or inaction which given their investment targets and risk margin."
What is a sale-leaseback arrangement?,"In a sale-leaseback arrangement, an owner sells his or her belongings or property and instantly leases it back to the buyer as part of the same transaction."
what is self financing?,Self financing is the procedure in which the company or an individual spends his own money for the completion of ongoing projects in case of unavailability of funding sources.
what is a single premium deferred annuity?,Single Premium Deferred Annuity (SPDA) is a type of annuity contract that is recognized with a solitary lump-sum payment by the owner.
What is the difference between a sole proprietorship and a company?,Most businessmen prefer sole proprietorship as they would not have to think of names to run as a company but can be named after the sole proprietor himself.
What is a spot market?,"The spot market is a commodity or security market where goods, both perishable and non-perishable are sold for money and delivered immediately or within a short span of time."
What is the definition of SIC?,A standard 4-digit code used by the US government to identify the industries according to their functions or products is Standard Industrial Classification (SIC).
What are the main types of costs associated with starting a business?,"Start-up costs are basically non-recurring costs,which are associated, with setting up a business such as fees of an accountant, registration charges, legal fees, promotional and advertising activities, as well as employee training."
What is the importance of strategic planning in any organization?,It's simple as putting some strategic planning to analysis and determines where the company is going over in the next few years or more and how it is going to get that position and how it will know that it's getting the specified goals or not?
what is asubordinated debt?,In other words asubordinated debt that ranks below other securities or loans when the phase of loan repayment occurs.
What is the definition of subprime lending?,There are many names for the term subprime lending.
What is surplus theory?,"This concept of surplus theory was developed and written by Karl Marx, but the term is not invented by him."
What are the main types of swaps?,"In recent times, swaps have grown to take account of currency swaps and interest rate swaps."
What is the definition of task analysis?,Task Analysis is the recognition of the prime elements of any given job and then understanding the skills required to make sure that the job is done with perfect outcome.
What is the main goal of Taylorism?,"The main goal of Taylorism is to provide the way of bettering the economy, especially in the field labor production."
What is the definition of technical analysis?,Technical analysts do not endeavor to estimate the intrinsic value of a security.
What are the basic and most important questions of the theories of economics?,"The basic and most important questions of the theories of economics are why the price of goods and services are priced as they are, how the price of goods and services are considered and how the correct price of goods and services can be calculated."
What is time management?,"For time management a variety of techniques, skills and tools may be used for managing time when specific goals, projects and tasks are needed to be accomplished within a given due date."
what is a trade mark?,Trademark is a registered symbol that represents that the specific product is the intellectual property of the manufacturer or the distributor of the product and only these specified personnel have a right to manufacture and distribute the product and realize profits on it.
what is transfer pricing?,Transfer pricing is when the business divisions are treated as separate entities so that the price charged by one part of the company from another part of the same company in order to provide them with certain service is known as transfer pricing.
What is the definition of trustee?,In other terms he is holding the trusteeship of the property or possession.
What is underwriting?,Underwriting can be explained as a process through which the investment bankers raise investment capital from investors on the behalf of governments and corporations which are issuing securities (debt as well as equity).
What is a unique selling proposition?,"Let’s start with the basic question, what is a unique selling proposition?"
what is the definition of vci?,Venture Capital is the financial capital which is provided by investors to high potential and high risk start-up firms and small companies with long term growth potential.
What is the point when vertical integration plays role?,Here comes the point when vertical integration plays role as its provide companies an edge in cutting down the extra costs and show efficiency by cutting down the expenses spend on transportation and reducing the duration of the work as well.
what is a voucher?,"Voucher is a piece of evidence, which proves that a certain event or transaction is carried out."
What is a warrant?,A warrant refers to a derivative security which provides the holder with the right to purchase securities (generally equity) from the issuer at a particular price within a specific period of time.
What is the definition of a form of work?,"The form of work could be anything like a product, data or a service."
What is a yield?,A yield refers to the income return on an investment.
What is the definition of audit engagement?,"To be more specific, audit engagement can be referred to the written letter that the auditor uses to notify the client that he/she would be engaging in auditing services."
What is audit evidence?,Audit evidence generally refers to the information collected for reviewing the financial transactions of a company in addition to its internal control practices and other essential factors required for the certification of financial statements.
What is an audit opinion?,"The audit opinion is helpful in setting out the scope of the audit, the accountant’s opinion about the procedures and records used for creating statements, and the accountant’s opinion about whether or not the financial statements present an accurate reflection of the organization’s financial condition."
What is audit planning?,It’s basically the step by step methodology where the audit in control reviews the financial process and the internal environment along with the engagement preparation.
can be divided into two categories?,The audit procedures can be divided into two categories.
What is the purpose of an audit report?,"Audit report, as recorded in the annual report, examines to check the compliance of a company’s financial statements with GAAP."
What is the definition of residual risk?,"Also referred as residual risk, the audit risk can be defined as the risk that the auditor will not discern errors or intentional miscalculations during the process of reviewing the financial statements of a company or an individual."
what is audit sampling?,Audit sampling can be defined as the process of applying auditing procedures to under 100% of different items in an organization’s account balance in a way that every single unit might have an equal probability of being selected.
What is the purpose of the audit trail?,It is useful in tracking out any market activity that is improper.
What is the purpose of the auditing standards board?,"The Auditing Standards Board produces statements, standards, and guidance to certified public accountants (CPAs) for non-public company audits."
How many firms are spread across 120 countries?,"Spread across 120 countries, the Baker Tilly International has over 150 firms."
is one of the top ten audit companies in the world?,BDO is among the top ten audit companies in the world and is presently the sixth preferred Audit Company.
What is the definition of the Big Four?,The Big Four includes the four largest international professional services networks in accountancy and professional services.
what is a comfort letter?,"In the auditing context, a comfort letter is a letter or a document from an independent auditor which is included in the preliminary prospectus and which states that though a complete audit has not been done, a review has been done by the auditor which is sufficient for assuring that the information in the financial statement in the preliminary prospectus is prepared properly to the best of his knowledge."
What is a compliance audit?,"Auditors conduct a review of the security related policies, procedures pertaining to risk management and user access controls throughout the compliance audit course."
What is the purpose of CAATs?,Computer Assisted Audit Techniques (CAATs) is the tool which is used by the auditors.
What is the purpose of computer auditing?,Computer auditing is the tool that facilitates the business in regard to data processing while putting a special concern to some targeted operations.
What is the definition of a conflict of interest?,"A conflict of interest is believed to occur when an organization or an individual is caught up in multiple interests, one of which could probably distort the motivation for one act in the other."
Where does Deloitte Touche Tohmatsu Limited have its headquarters?,"The company holds its headquarters in Paramount Plaza, New York City, New York, and Midtown Manhattan."
what is the definition of a detection risk?,Detection risk is actually the risk that the procedures applied by the auditors will fail to detect material misstatements in the financial statements.
what is a statement?,Disclaimer of opinion is basically a statement provided by the auditor that doesn’t lay down any sort of opinion with regard to the financial position and condition of the company.
What is the largest private firm in the US?,"Besides, the firm was ranked as the 9th largest private company in US by Forbes magazine."
What is the definition of financial auditing?,Financial auditing refers to an accounting process applied in business.
What is GAAS?,"Short for Generally Accepted Auditing Standards, GAAS refers to a set of systematic guidelines used by auditors while performing audits on companies’ financial statements, thus ensuring the consistency, accuracy, and verifiability of the actions and reports produced by an auditor."
What is the importance of connecting with the clients they work for?,"This company has known to provide the best audit, tax and consultative know-how and promotes the importance of connecting with the clients they work for."
What is the definition of inherent risk?,"Every company cannot apply the procedure that gives the accurate result to them, the result is basically inherited by the risk factors as the procedure is applied to just a small sample of the population rather than on the whole population."
What is the definition of the Institute of Internal Auditors?,The Institute of Internal Auditors (IIA) implies a guidance-setting organization.
What is an internal audit?,"Internal audit can be defined as the evaluation, monitoring, and analysis of activities associated with the operations of a company, also counting the business structure, information systems, and employee behavior."
What is the importance of the International Standards for the Professional Practice of Internal Auditing?,"Although differences might affect the practice of internal auditing in every environment, conformance with the IIA’s International Standards for the Professional Practice of Internal Auditing is important in congregating the responsibilities of internal auditors as well as internal audit activity."
What is the role of the auditor in an ISA?,"The auditor is obligatory to have knowledge about the whole text of an ISA, counting its application and other explanatory material, to be aware of the objectives and to apply the requirements aptly."
How many people work for KPMG?,"Moreover, the firm employs about 1,38,000 people and offers three basic service lines – tax, audit, and advisory."
what is a litigation risk analysis?,The litigation risk analysis provides the assessment to determine whether there is a chance that a legal action will be taken against the company in the future.
What is the materiality concept in auditing and accounting?,Materiality concept in auditing and in accounting refers to the truthfulness of the material i.
What is the purpose of a model audit?,"Generally, model audits are appealed by banking organizations, with the purpose of reassuring lenders and investors alike that the calculations and assumptions contained in the model are accurate, and that the results obtained by the model are dependable."
What is the difference between an unmodified and unmodified opinion?,"If all the information in the financial statement is materially correct, the opinion of the auditors will be un-modified opinion."
What is the definition of non-sampling risk?,"Non-sampling risk is the risk that despite having selected an appropriate sample, the auditors will arrive at wrong conclusion."
What is the name of the firm?,PKF is globally spread over 125 countries and has one of the widest accounting network providing with the best in financial services all over the world.
What was the name of the firm shortened to?,The trading name was thus shortened to PwC in September 2010 as a part of key rebranding exercises.
What is the definition of professional judgment?,"Suppose there is a condition where the accountants have prepared the financial statement, and auditors are there to check if the information in the financial statement is true and not flawed by the misstatement."
What is skepticism?,Professional skepticism is the state of mind which is ready for the situation that grabs out the errors or questions the financial events and other events while conducting an assurance engagement.
What is a qualified opinion?,"In all other circumstances, a qualified opinion is given."
What is the ratio of the sample estimate to its population total?,The ratio of the sample estimate to its population total is used to adjust the sample estimate for the variable of interest.
What is the risk of material misstatement?,The risk of material misstatement refers to the risk that the financial statements are materially misstated and do not present true and fair view.
is a professional financial company that provides with all types of financial services to its clients including risk?,"Founded in 2000 and headquartered in London, RSM is a professional financial company that provides with all types of financial services to its clients including risk management, financial management, tax and advisory."
What is the definition of sampling error?,"However, using sampling data involves the risk that results found in an analysis might not represent the results that would be acquired by using data involving the whole population from which the sample was derived."
what is the difference between the auditors opinion and the opinion of the entire population?,Sampling risk is the risk that the auditors opinion would have been different if the procedures were applied to the entire population of the data.
What is the Sarbanes-Oxley Act?,"Commonly known as the “Public Company Accounting Reform and Investor Protection Act” and “Corporate and Auditing Accountability and Responsibility Act”, the Sarbanes-Oxley Act was implemented on July 30, 2002."
What is the name of the company?,"Founded in Glasgow in the year 1881, Smith and Williamson has catered to various financial business needs of the customers providing with great advisory and chartered accountant services to its clients."
Who provides the auditing report and submit those reports to the law or the concerned municipal law authority?,The company here the auditors who provide the auditing report and submit those reports annually or semiannually to the law or the concerned municipal law authority.
What is a statutory auditor?,"Statutory auditors, in most of the countries are referred to the external auditors or the external public accountants who are certified."
What is the meaning of unqualified opinion?,The judgment of an independent author that the financial records and statements of a company are presented appropriately and fairly and in accordance with the Generally Accepted Accounting Principles (GAAP) is called unqualified opinion.
What is the main objective of auditing?,The term vouching is the core thing of auditing which refers to the inspecting of documentary evidence by an auditor to support and substantiate a transaction.
What is the purpose of the Appraisal Institute?,It works towards making the appraisal system more transparent and supports equal opportunity and fairness in the profession of appraisal.
What is the main task of the Appraisal Standard Board?,"The main task that the Appraisal Standard Board performs is developing, interpreting and amending the Uniform Standards of Professional Appraisal Practice (USPAP) and this is done on behalf of the users and appraisers of the appraisal services."
What is an appraiser?,An appraiser is a professional who is certified to estimate the worth or value of some item or thing.
What is the difference between approaches to value and sales comparison approach?,"For different property, different approach to value is used."
what is cost approach to value?,Cost approach to value is one of the approaches to value and is used for determining the value of a property.
what is income approach to value?,"The income approach to value, also known as income capitalization approach is used to determine the value of an income generating property by deriving a value indication by conversion of expected benefits like cash flows and reversion into value of property."
What is the role of the International Valuation Standards Council?,"Since 1985, the International Valuation Standards (IVS) has been published by the International Valuation Standards Council (IVSC)."
What is the difference between a business that is not expected to close and will function continuously?,"By “going concern” valuation, we mean the value of a business which is not expected to close and will function continuously."
What is project appraisal?,Project appraisal is the structured process of assessing the viability of a project or proposal.
What is the difference between a valuation and a special case?,Therefore valuation has become a special case in which the effective and insurable value of a property is estimated.
What is the difference between a real estate appraisal and a land valuation?,"In this type of appraisal, the market value of the property is usually required."
what is the term residual income?,The word ‘residual’ refers to any opportunity costs in excess which is measured as compared to the book value of the shareholders’ equity and the income that a firm generates after accounting for the true cost of capital is then the residual income.
What is the role of the Royal Institution of Chartered Surveyors?,"The Royal Institution of Chartered Surveyors (RICS) is a professional, representative and independent body that works to control surveyors and property professionals in U."
What is the value of a property?,"The sales comparison approach determines the value of a property by comparing it to similar properties in the vicinity that have been recently sold, along with proper adjustments for acreage, size, amenities, time, etc."
Why was the Appraisal Foundation formed in 1987?,The formation of the Appraisal foundation in 1987 was due to the flux arising in businesses relating to mortgage lending and real estate.
What is the definition of the term?,Uniform Standards of Professional Appraisal Practice (USPAP) is a kind of quality control standards in the U.
What are some examples of intangible assets?,"Some of the examples of intangible assets are goodwill, trademark and patent."
what is a valuation technique?,Valuation using multiples often known as relative valuation is a technique that is used for making an estimate of the value of an asset and this is done by making a comparison of the asset’s value with the values of similar assets or comparables after analyzing the market.
What is the definition of value-in-use of an asset?,Value-in-use of an asset is the net present value of cash flows or some other benefits which is generated by an asset in a certain use for a certain owner.
