question,answer
what is the product cost of a retailer?,"For example, if a retailer pays $40 to its supplier and then pays $10 to get it delivered to its warehouse, the retailer’s product cost is $50."
What is the manufacturer’s product cost?,A manufacturer’s product cost includes the cost of each product’s raw materials plus the costs of converting the raw materials into products.
"When the goods are sold, the product costs will be removed from inventory and will appear on the?","When the goods are sold, the product costs will be removed from inventory and will appear on the income statement as the cost of goods sold."
What are the costs of a retailer and/or a manufacturer?,"The selling, general, administrative (SG&A) and interest costs of a retailer and/or a manufacturer are not product costs."
What is the difference between FIFO and LIFO?,"First, if the costs of the inventory items never change, there will be no difference whether FIFO or LIFO is used."
What is the difference between the two tax rules?,"tax rules also allow for either FIFO or LIFO, but require the same cost flow assumption be used on both the company’s tax return and on the company’s financial statements."
What is the preferred method for capital budgeting decisions?,"Since the investments have an impact over many years, the preferred methods for capital budgeting decisions are those which use discounted cash flows."
What is a Form 10-K?,Form 10-K is a required annual report filed with the U.
How do you review a Form 10-K?,"On the corporation’s website, select Investor Relations, and from that page select Annual Reports or Reports to SEC."
what is a purchase discount lost account?,The account Purchase Discounts Lost is a general ledger account used by a company that records vendors’ invoices using the net method.
What is the policy of a retailer?,Assume that a retailer’s policy is to always pay a vendor’s legitimate invoice within the early payment discount period if such a discount is offered.
What are the recipients of the external financial statements?,External financial statements are those distributed outside of the company’s management.
what is the financial statement of a corporation?,The external financial statements of a U.
What are the definitions of nonoperating activities?,Transactions which are outside of a company’s main business activities are referred to as nonoperating activities.
What is the difference between the sale of the old delivery van and the sale of the merchandise?,"Therefore, the sale of the van will not be included with the sales of merchandise."
what is the gain on sale of a van?,"Since this transaction is not a main business activity of the retailer and since the $5,000 of cash received is greater than the net cost of $3,500 being removed from the accounts, the retailer will report a nonoperating item described as gain on sale of van of $1,500."
what is obsolete inventory?,Obsolete inventory refers to products that a company had purchased or produced which cannot be sold.
What does the accounting rule require that the cost of the obsolete inventory items be reduced to their net?,accounting rules require that the cost of the obsolete inventory items be reduced to their net realizable value.
what is the value of the obsolete items?,"Since the value of the obsolete items may continue to decrease, it is wise to dispose of the items at any price as soon as possible."
"What is the definition of the term ""opportunity cost""?",Some refer to opportunity cost as opportunity lost.
How much money will you lose with your friend’s work?,"However, with your friend’s work you will have lost the opportunity to earn an additional $4,500 (3 weeks at $1,500 a week)."
what is a calendar year?,A calendar year is the 12 consecutive months from January through December.
What year does a U.S. corporation file its personal income tax return?,", individuals file their personal income tax returns based on the calendar year of January 1 through December 31."
What is a non-calendar accounting year?,"For example, a U."
What is accounting?,"Accounting is the recording of financial transactions along with storing, sorting, retrieving, summarizing, and presenting the results in various reports and analyses."
What is the definition of a report?,These external reports must be prepared in accordance with generally accepted accounting principles often referred to as GAAP or US GAAP.
What is the purpose of accounting?,Another part of accounting focuses on providing a company’s management with the information needed to keep the business financially healthy.
What is the difference between a dividend and an expense?,It is important to note that the dividends declared and paid by a corporation are not an expense of the corporation.
what is the ratio of accounts receivable turnover?,The calculation of the accounts receivable turnover ratio is: credit sales for a year divided by the company’s average amount of accounts receivable throughout that year.
how many times a year does a company’s accounts receivable turnover change?,"As a result, the accounts receivable turnover ratio is: credit sales of $6,000,000 divided by the average amount of accounts receivable of $600,000 = 10 times a year."
what should you do if you have access to the company’s details?,"Therefore, if you have access to the company’s details, you should review a detailed aging of accounts receivable to discover any past due accounts."
what is the current ratio?,"The current ratio is the proportion, quotient, or relationship between the amount of a company’s current assets and the amount of its current liabilities."
What is the best way to compare a company’s current ratio to its ratio at earlier?,You are also wise to compare a company’s recent current ratio to its ratio at earlier dates.
What is the definition of cash from operating activities?,"Cash from operating activities focuses on the cash inflows and outflows from a company’s main business activities of buying and selling merchandise, providing services, etc."
"In the U.S., the cash from operating activities can be presented using either of the?",In the U.
What does financial reporting include?,Financial reporting includes all of a company’s communication of financial information to people outside of the company.
what is a liquidity ratio?,A liquidity ratio is a financial ratio that indicates whether a company’s current assets will be sufficient to meet the company’s obligations when they become due.
what is the difference between a company’s balance sheet and its earnings?,"Generally, when a corporation earns revenue there is an increase in current assets (cash or accounts receivable) and an increase in the retained earnings component of stockholders’ equity ."
What is the effect of the Sales account on the corporation’s retained earnings?,"However, the Sales account is a temporary account that has the effect of increasing the corporation’s retained earnings."
What is a compilation report?,"A compilation report should accompany the compiled financial statements to indicate that the financial statements 1) are the representation of the company’s management, and 2) have not been reviewed or audited and therefore the accountant does not offer an opinion or any assurances on the financial statements."
Does the bank require the borrower to incur the expense of a CPA’s review?,(The bank does not require the borrower to incur the expense of a CPA’s review or audit.
What is the statement of comprehensive income?,The statement of comprehensive income is one of the five financial statements required in a complete set of financial statements for distribution outside of a corporation.
What is a consolidated financial statement?,Consolidated financial statements are financial statements for a group of separate legal entities that are controlled by one company (the parent company).
What is the purpose of the consolidated balance sheet of NEP?,") The consolidated balance sheet of NEP will report all of the cash, receivables, plant, etc."
what is the debt to equity ratio?,The debt to equity ratio or debt-equity ratio is the result of dividing a corporation’s total liabilities by the total amount of stockholders’ equity.
how much debt to equity ratio will a corporation have?,"A corporation with total liabilities of $1,200,000 and stockholders’ equity of $400,000 will have a debt to equity ratio of 3:1."
what is a rolling budget?,A rolling budget often refers to a company’s operating budget which presents the future monthly budgets for the next 12 months.
What is the benefit of a rolling budget?,The benefit of a rolling budget is that the company’s management will always have a budget that looks forward for one full year.
What is the after tax profit margin ratio?,The after tax profit margin ratio expresses the company’s net income or earnings as a percent of the company’s net sales.
what is the statement of stockholders’ equity?,This financial statement summarizes on one page all of the changes that occurred in the stockholders’ equity accounts during the accounting year.
What is the difference between the direct method and the indirect method?,"For a summary of the differences in the two methods for preparing the statement of cash flows, please click the following: Differences between the direct method and indirect method."
how long until the company receives the money?,"From June 1 until the company receives the money, the company will have an account receivable (and the customer will have an account payable)."
What is the most common method for calculating accelerated depreciation?,The sum-of-the-years’-digits depreciation (SYD depreciation) is one method for calculating accelerated depreciation.
What is the value of the sum of the digits in the years of the asset’?,"Instead of adding the individual digits in the years of the asset’s useful life, the following formula can be used to compute the sum of the digits: n(n+1) divided by 2, where n = the useful life in years."
what is bad debts?,The term bad debts usually refers to accounts receivable (or trade accounts receivable) that will not be collected.
what is the deferred expense?,"To accomplish this, the deferred expense is reported on the balance sheet as an asset or a contra liability until it is moved from the balance sheet to the income statement as an expense."
What is the name of the account used for recording the current period’s expense associated with the?,"If Provision for Doubtful Debts is the name of the account used for recording the current period’s expense associated with the losses from normal credit sales, it will appear as an operating expense on the company’s income statement."
What is the difference between the amount of last period’s ending inventory and the amount of the?,Inventory change is the difference between the amount of last period’s ending inventory and the amount of the current period’s ending inventory.
What is the alternative to the method used in introductory accounting textbooks?,"(This is an alternative to the method used in introductory accounting textbooks, which is: beginning inventory of $100,000 + net purchases of $300,000 = $400,000 of cost of goods available – ending inventory of $115,000 = cost of goods sold of $285,000."
What is a utility bill?,"Utility bills are invoices received by a company for the natural gas, electricity, water, and sewer charges that the company used during a previous month or other period of time."
"When the utility bills are not available, the retailer will record an accrual adjusting entry that?","If the utility bills for December’s usage are not available at the time that the retailer’s financial statements are prepared, the retailer will record an accrual adjusting entry that debits Utilities Expense and credits Accrued Utilities Payable for December’s estimated amount."
what is the amount of the invoices that will not be collected?,The estimated amount that will not be collected should be the credit balance in the contra asset account Allowance for Doubtful Accounts.
How much is the balance of a company’s accounts receivable?,"This will result in the balance sheet reporting Accounts Receivable (Net) of $82,000."
what is a noncash expense?,"A noncash expense is an expense that is reported on the income statement of the current accounting period, but the related cash payment took place in another accounting period."
What is the most common example of a noncash expense?,This is why depreciation expense is referred to as a noncash expense.
what is the allowance for uncollectible accounts?,The income statement account Bad Debts Expense is part of the adjusting entry that increases the balance in the Allowance for Uncollectible Accounts.
is the company delaying the reporting of bad debts expense until an account receivable?,"Hence, the income statement is delaying the reporting of bad debts expense on its income statement until an account receivable is actually written off as uncollectible."
What is a deferral?,"A deferral often refers to an amount that was paid or received, but the amount cannot be reported on the current income statement since it will be an expense or revenue of a future accounting period."
How much of the insurance premium is deferred to a liability account?,"The remaining $10,000 is deferred by reporting it as a current asset such as prepaid insurance, on its December 31 balance sheet."
is there a principal payment required until the loan comes due?,No principal payment is required until the loan comes due.
What is the interest rate for each month?,"Assume that on July 1, a company borrows $100,000 with an annual interest rate of 12%."
what is a deferred cost?,"A deferred cost is a cost that is already recorded in a company’s accounts, but at least some of the cost should not be expensed until a future accounting period."
What is the reason the company’s balance sheet will report $600 as the current asset?,"Therefore, as of December 31, the company’s balance sheet will report $600 as the current asset Prepaid Insurance."
What is the meaning of bad debt and doubtful debt?,"In accounting, the terms bad debt and doubtful debt usually refer to the amounts owed by a company’s customers who purchased goods or services but the amounts are likely to be uncollectible."
What should be the company’s current asset account?,"For accounting purposes, the company should establish a current asset account entitled Allowance for Doubtful Accounts or Allowance for Uncollectible Accounts."
What is a promissory note?,Notes payable and notes receivable are both associated with a written note that promises to repay the amount borrowed plus interest.
"How does the bank record the $20,000 promissory note?","Assume that Local Retailer borrows $20,000 from its bank and signs a promissory note due in six months."
what is a deferral adjusting entry?,A deferral adjusting entry (one of three types of adjusting entries) pertains to a transaction that has already been recorded in the general ledger accounts.
What should be the company's current asset Prepaid Expense?,"On January 31, the company should report that during the month of January it had Maintenance Expense of $1,000 and that its current asset Prepaid Expense now has a debit balance of $11,000."
What is the maintenance service company's current liability account?,"The maintenance service company recorded the transaction on December 31 with a debit to Cash for $12,000 and a credit to the current liability account Deferred (or Unearned) Revenues for $12,000."
what is the short answer to the question?,"The short answer is that the corporation’s financial statements are prepared using the accrual method of accounting (generally accepted accounting principles), while the employee payroll records for the Internal Revenue Service (IRS) requires the cash method of accounting."
When does the retailer begin operations?,"To illustrate, let’s assume that a new retailer (that uses the accrual method of accounting) begins operations on December 27."
What is the amount reported to the IRS?,The retailer’s payroll department must report to the IRS the wages paid.
What is the meaning of financial leverage?,The use of financial leverage to control a greater amount of assets (by borrowing money) will cause the returns on the owner’s cash investment to be amplified.
how much money does she use to buy 120 acres of land?,"Sue uses $500,000 of her cash and borrows $1,000,000 to purchase 120 acres of land having a total cost of $1,500,000."
How much land did Mary and Sue sell after one year?,"For our examples let’s assume that after one year, the land owned by Mary and the land owned by Sue increased in value by 20% and both Mary and Sue sold their land investments at the market values."
What is the debt to total assets ratio?,Note: Debt includes more than loans and bonds payable.
What is the debt to total assets ratio of a corporation?,"Let’s assume that a corporation has $100 million in total assets, $40 million in total liabilities, and $60 million in stockholders’ equity."
what is the length of the operating cycle used in place of the one-year time period?,"If a company’s operating cycle is longer than one year, the length of the operating cycle is used in place of the one-year time period."
What is vertical analysis?,Vertical analysis expresses each amount on a financial statement as a percentage of another amount.
What percentages on a common-size balance sheet allow you to compare a small company?,The percentages on a common-size balance sheet allow you to compare a small company’s balance sheets to that of a very large company’s balance sheet.
how much is the cost of goods sold?,"If the cost of goods sold amount is $780,000 it will be presented as 78% ($780,000 divided by sales of $1,000,000)."
What is the meaning of horizontal analysis?,Horizontal analysis is also referred to as trend analysis.
What is the difference between the cost of goods sold and the net sales?,It will be easy to detect that over the years the cost of goods sold has been increasing at a faster pace than the company’s net sales.
what is a current asset?,"However, if a company has an operating cycle that is longer than one year, an asset that is expected to turn to cash within that longer operating cycle will be a current asset."
how many days did it take to collect accounts receivable?,The days’ sales in accounts receivable ratio (also known as the average collection period) tells you the number of days it took on average to collect the company’s accounts receivable during the past year.
how many days in a year is the sales in accounts receivable divided by the?,The days’ sales in accounts receivable can be calculated as follows: the number of days in the year (use 360 or 365) divided by the accounts receivable turnover ratio during a past year.
How much of the money in the accounts receivables is aging?,"Upon further checking, the company believes that $10,000 of these receivables will never be collected."
What is the quick ratio?,The quick ratio is calculated by dividing the amount of “quick assets” by 2) the amount of current liabilities.
What is the reason that inventory might not be “quick” to turn to cash?,The reason is that inventory might not be “quick” to turn to cash.
What is the definition of a security deposit?,The landlord that receives and holds the security deposit should report the amount as a liability.
What is the landlord's liability account?,"The landlord debits Cash for $1,000 and credits a liability account such as Refundable Security Deposits for $1,000."
what is net working capital?,Net working capital is the amount (as opposed to being a ratio) remaining after subtracting a company’s total amount of current liabilities from its total amount of current assets.
What is the reason for the decrease in current liabilities?,"If a company obtains a long-term loan to replace a current liability, current liabilities will decrease but current assets do not change."
how does the depreciation expense for an asset be recorded?,"In order to know the asset’s book value at the time of the sale, the depreciation expense for the asset must be recorded right up to the date that the asset is sold."
how much cash is received by the company on the sale of the old delivery van?,"Since the $4,000 of cash received by the company was greater than the van’s book value of $1,400, there is a gain on the sale of the van of $2,600 ($4,000 minus $1,400)."
What is the cause of a negative cash balance in a company’s general ledger?,A negative cash balance results when the cash account in a company’s general ledger has a credit balance.
What is the logic of a company’s checks?,The logic is that the company likely issued the checks to reduce its accounts payable.
What is a construction work-in-progress account?,"The account Construction Work-in-Progress will have a debit balance and will be reported on the balance sheet as part of a company’s noncurrent or long-term asset section entitled Property, plant and equipment."
How long does it take to expand a warehouse?,Let’s assume that a company is expanding its warehouse and the project is expected to take four months to complete.
What is the difference between the expenditures to get a machine back to its previous working condition?,"(On the other hand, the expenditures to get a machine back to its previous working condition are not capitalized."
what is the term carrying amount?,The term carrying amount is often used when there is a valuation account associated with another general ledger account.
how many days in a year does a company sell its inventory?,The calculation of the days’ sales in inventory is: the number of days in a year (365 or 360 days) divided by the inventory turnover ratio.
How many days did a company have in inventory?,"Using 360 as the number of days in the year, the company’s days’ sales in inventory was 40 days (360 days divided by 9)."
What is the meaning of the term 'net realizable value'?,Net realizable value (NRV) is the cash amount that a company expects to receive.
What is the resulting net realizable value of the accounts receivable?,"If Accounts Receivable has a debit balance of $100,000 and the Allowance for Doubtful Accounts has a proper credit balance of $8,000, the resulting net realizable value of the accounts receivable is $92,000."
What is a drawing?,"Webb, Draws; or L."
what is the account L. Webb draws money from?,"Webb) draws $5,000 of cash from her business, the accounting entry will be a debit of $5,000 to the account L."
What is the impact of the owner’s drawings on the statement of cash flows?,The owner’s drawings of cash will also affect the financing activities section of the statement of cash flows.
What is the principal part of a note receivable that is expected to be collected?,) The principal part of a note receivable that is expected to be collected within one year of the balance sheet date is reported in the current asset section of the lender’s balance sheet.
"What happens if a company borrows $100,000 from its bank?","If a company borrows $100,000 from its bank and signs a promissory note to pay 6% interest quarterly and the principal amount in 9 months, the bank will debit its current asset account Notes Receivable and will credit Cash or Customers’ Deposits for the principal amount of $100,000."
how long does a company have to pay its principal?,"(A company in an industry where the operating cycle is longer than one year, will report the amount of principal due within the length of the operating cycle as a current liability."
What is the current liability section of the balance sheet?,The remaining amount of principal due at the balance sheet date will be reported as a noncurrent or long-term liability.
What is the working capital turnover ratio?,The working capital turnover ratio is calculated as follows: net annual sales divided by the average amount of working capital during the same year.
What is the working capital turnover ratio?,"As with most financial ratios, you should compare the working capital turnover ratio to other companies in the same industry and to the same company’s past and planned working capital turnover ratios."
What is the definition of a plant asset?,"Plant assets and the related accumulated depreciation are reported on a company’s balance sheet in the noncurrent asset section entitled property, plant and equipment."
What is the par value of a share of common stock?,) In the case of common stock the par value per share is usually a very small amount such as $0.
What is the par value of a share of common stock?,Let’s assume that a share of common stock has a par value of $0.
what is the mortgage loan payable?,The account Mortgage Loan Payable contains the principal amount owed on a mortgage loan.
How much is the principal due on a mortgage loan?,"The remaining principal of $202,000 ($238,000 minus $36,000) is reported as a long-term (or noncurrent) liability since this amount will not be due within one year of the balance sheet date."
What is the difference between the amount received by the corporation issuing the bonds and the par value?,The premium or discount on bonds payable is the difference between the amount received by the corporation issuing the bonds and the par value or face amount of the bonds.
how much interest expense is reported on bonds that have not yet been amortized?,The premium or the discount on bonds payable that has not yet been amortized to interest expense will be reported immediately after the par value of the bonds in the liabilities section of the balance sheet.
What is the difference between the book value and the fair market value?,It is important to realize that the book value is not the same as the fair market value because of the accountants’ historical cost principle and matching principle.
what is the book value of a corporation’s bonds?,"If a corporation’s balance sheet reports stockholders’ equity of $245,000, the corporation’s book value is that amount."
Does the current market value indicate the current market value?,Book value does not indicate the current market value.
What percentage of sales will have commissions revenue?,The company or person earning and receiving commissions (such as a percentage of sales) will have commissions revenue.
What is the difference between the accrual basis of accounting and revenue basis?,"Under the accrual basis of accounting, the commissions do not have to be received in order to be reported as revenues."
What is the difference between commissions owed and commissions payable?,"If a company owes for commissions on recent sales, but has not yet paid or recorded them, an accrual adjusting entry is made so they are included in the commissions expense reported on its income statement and are also reported as commissions payable (or included in accrued liabilities) on its balance sheet."
What is the reason the company wants its financial and income tax reporting to use LIFO?,"company’s accounting system uses FIFO, but the company wants its financial and income tax reporting to use LIFO due to the persistent increases in the cost of its inventory items."
What is the definition of fixed assets?,"The word fixed indicates that these assets will not be used up, consumed, or sold in the current accounting year."
What is the connection between inventory and the cost of goods sold?,"To show the connection between inventory and the cost of goods sold, let’s assume that a retailer sells only one product."
how much is the acid test ratio?,"If the company’s current liabilities amount to $100,000 the acid test ratio is 1."
What is the simplest way to record the issuance of bonds?,Assume that a corporation issues $100 million of bonds payable at an annual interest rate of 5%.
How many times has a company sold its inventory?,The result is the average number of times that the company’s inventory had been sold.
What is the inventory turnover ratio?,The calculation for the inventory turnover ratio is: cost of goods sold for a year divided by average inventory during the same 12 months.
how many times did the company’s inventory turnover ratio change during the last year?,"As a result, the company’s inventory turnover ratio is: cost of goods sold of $3,600,000 divided by average inventory of $400,000 = 9 times during the recent year."
what is the cost of a company’s inventory?,Overstating inventory means that the reported amount for the cost of a company’s inventory is greater than the actual true cost based on accounting rules.
What is the meaning of common stock?,"The owners of the common stock are referred to as common stockholders, common shareholders, or simply as stockholders or shareholders."
What percentage of the corporation is owned by the stockholder?,"If a stockholder owns 1,000 shares of the common stock, the stockholder owns 1% of the corporation."
What is the effect of interest expense on a corporation’s bonds and other debt?,Interest on a corporation’s bonds and other debt is an expense of the corporation and it reduces the corporation’s net income.
What is the difference between the interest and the line income tax expense?,"The $100,000 will appear on the corporation’s income statement as interest expense and will reduce the line net income before income tax expense and the line income tax expense."
What is the difference between FIFO and LIFO?,companies may elect either the FIFO or the FIFO cost flow assumptions.
How many units were sold in the year?,"Thus, for the year the retailer purchased 90 units with a total actual cost of $3,870 [30@$40 + 30@$43 + 30@$46]."
What is the debt ratio?,"Hence, the formula for the debt ratio is: total liabilities divided by total assets."
What is the corporation’s debt ratio?,The corporation’s debt ratio is 0.
What is the difference between the expected future cost of repairing or replacing a product and the?,Note that the expected future cost to repair or replace is matched with the sales revenue in the period of the sale.
How much labor and parts does an automobile manufacturer spend on repairs?,"Assume that an automobile manufacturer has found that it spends $1,000 in labor and parts for the necessary repairs covered under its two year warranty."
What is the difference between the current ratio and the quick ratio?,"To illustrate the difference between the current ratio and the quick ratio, assume that a company’s balance sheet reports current assets of $60,000 and current liabilities of $40,000."
What is a liquidity ratio?,Liquidity usually refers to a company’s ability to pay its bills when they become due.
What is the order of liquidity?,"Generally, the assets that are expected to turn to cash within one year are reported on the balance sheet in the section with the heading current assets."
how long does it take to convert inventory to cash?,Accounts receivable may be converted to cash in 10 to 40 days.
How does the current ratio affect the liquidity of a company?,Its liquidity depends on the speed in which the inventory can be converted to cash.
What is the difference between the number of shares issued and the number of shares outstanding?,The number of shares of treasury stock (or treasury shares) is the difference between the number of shares issued and the number of shares outstanding.
How many shares of common stock does a corporation buy?,"As a result, it decides to purchase 10,000 shares of its 300,000 shares of common stock that is held by its stockholders."
What is the most common way to finance a new power plant?,"For example, a profitable public utility might finance half of the cost of a new electricity generating power plant by issuing 30-year bonds."
is the sinking fund part of the working capital of the corporation?,"Therefore, the sinking fund is not a current asset nor is it part of the corporation’s working capital."
How much will ABC Corporation invest in the sinking fund?,An independent trustee will invest the corporation’s annual deposits with the goal of the sinking fund balance growing to approximately $20 million by the time the bonds come due in 20 years.
What is the difference between capital expenditures and cash flow?,The amount of capital expenditures for an accounting period is also reported in the cash flow statement as a negative amount (since it is a cash outflow) in the investing activities section.
What is the meaning of the term bond sinking fund?,The bond sinking fund is a noncurrent (or long-term) asset even if the fund contains only cash.
what is the days sales outstanding?,The accounts receivable collection period is similar to the days sales outstanding or the days sales in accounts receivable.
how many days of credit sales did a corporation have in the past year?,"The average credit sales per day were approximately $1,000 per day ($360,000 of annual credit sales divided by 360 or 365 days per year)."
What are the two metric used in determining a company’s ability to meet its?,Both of these metrics are useful in determining a company’s ability to meet its current or short-term obligations.
What is the difference between a mortgage principal balance and a long-term liability?,"It is possible that a mortgage principal balance of $150,000 will mean a current liability of $15,000 and a long-term liability of $135,000."
Does the change affect the net income?,"Since the OCI items do not affect the net income, they do not cause a change in a corporation’s retained earnings."
What is the difference between the current ratio and working capital?,"To illustrate the difference between the current ratio and working capital, assume that a company’s balance sheet reports current assets of $60,000 and current liabilities of $40,000."
What is the root cause of the discount on bonds payable?,The root cause of the bond discount is the bonds have a stated interest rate which is lower than the market interest rate for similar bonds.
What is the difference between the initial debit balance and the credit balance in Discount on Bonds Pay?,"Over the life of the bonds, the initial debit balance in Discount on Bonds Payable will decrease as it is amortized to Bond Interest Expense."
what are the direct materials for a bakery’s products?,"The direct materials for a bakery’s products will likely be flour, sugar, eggs, milk, vegetable oil, spices, and other ingredients listed in the bakery’s recipes."
what is the working capital ratio?,The working capital ratio is defined as the amount of a company’s current assets divided by the amount of its current liabilities.
how much cash does a company have?,"Whether this ratio is good or bad, sufficient or insufficient, etc."
What does the term solvency mean?,A company’s solvency is also at risk if it is unable to operate profitably.
What is the definition of leverage?,"In accounting and finance, leverage is the use of a significant amount of debt to purchase an asset, operate a company, acquire another company, etc."
What is the first step to record the depreciation for the equipment being sold?,"Now assume that the company sells one piece of equipment that had a cost of $50,000 and had accumulated depreciation of $40,000 at the end of the previous accounting year."
What is the effective interest rate of a bond?,The effective interest rate of a bond is the rate that will discount both the bond’s future interest payments and the bond’s maturity value to a present value that is equal to the bond’s current market value.
how much cash will the investor be receiving every six months?,"The cash that the investor will be receiving is $2,500 every six months ($100,000 X 5% X 1/2 year) for 3 years and then $100,000 at the end of 3 years."
"What is the common term used to refer to land, buildings, and machinery as fixed assets?","It is common for people to refer to land, buildings, and machinery as fixed assets."
What is the definition of a fixed expense?,The depreciation expense associated with a company’s buildings and machinery is considered to be a fixed cost or a fixed expense.
How much of the fixed manufacturing overhead cost per unit is applied to the company?,"In this situation, the fixed manufacturing overhead cost per unit will be applied at a rate of $5 per unit ($600,000/120,000 units manufactured)."
What is the ratio between a company’s annual net sales and the net amount of its?,The fixed asset turnover ratio shows the relationship between a company’s annual net sales and the net amount of its fixed assets.
What is the average amount of net sales of a corporation?,Assume that during its recent year a corporation had net sales of $18 million.
How much money does the Equipment account have after 5 years?,"Therefore, after 5 years, the Equipment account has the cost of $210,000 and the Accumulated Depreciation account has a credit balance of $150,000."
what is the return on assets ratio for a regular corporation?,The return on assets ratio for a regular corporation can be computed using the before tax earnings and/or the after tax earnings.
What was the average return on assets for the year?,"During the same period, the company’s 12 monthly balance sheets reported an average of $1,000,000 in total assets."
what is the total asset turnover ratio?,The total asset turnover ratio indicates the relationship between a company’s net sales for a specified year to the average amount of total assets during the same 12 months.
What was the average amount of assets reported on the 12 monthly balance sheets of the company?,"During the same period, the company’s total assets reported on its 12 monthly balance sheets averaged $1,400,000."
How much inventory will be reported on December 31?,"Using perpetual LIFO, the company’s cost of goods sold will be $43 (1 at $10 and 3 at $11), and its inventory will be reported at a cost of $32 (2 units at $11 and 1 unit at $10)."
What is the amount of other comprehensive income?,The amount reported is the net cumulative amount of the items that have been reported as other comprehensive income on each period’s statement of comprehensive income.
What is the value of the net working capital of a company?,This amount may be sufficient for some companies but inadequate for other companies.
What is the difference between a company that sells fast-moving products online with customers?,"In contrast, another company that sells fast-moving products online with customers paying with credit cards will have liquidity even with a small amount of net working capital."
What is the difference between the two accounts?,"When the balances of these three purchases accounts are combined, the resulting amount is known as net purchases."
What is the alternative format for the cost of goods sold?,An alternative format is: net purchases plus the decrease in inventory or minus the increase in inventory = cost of goods sold.
what is the general ledger?,"It should be noted that companies using the periodic inventory system in their general ledger accounts often have sophisticated inventory systems outside of the general ledger for tracking the items it purchases, produces, sells and has on hand."
How many days are the items in inventory turning?,"In other words, the fast selling items are turning every 18 days (365 days/20) and the majority of the items are turning on average every 109 days (365/3."
How do you calculate the cost of a company’s ending inventory?,One method for calculating the cost of a company’s ending inventory is to 1) physically count the quantity of each of the items in inventory and then 2) multiply those quantities by each item’s actual unit cost.
What is the most common method used for interim financial statements?,A second method which can be used for interim financial statements is to calculate the ending inventory by using the quantities on the company’s inventory system.
how much is the gross profit method used to calculate the estimated cost of the ending inventories that?,A third approach is to use the gross profit method to calculate the estimated cost of the ending inventories that will be used on the interim financial statements.
what is liquidation?,"Liquidation is a term commonly used to describe a company selling parts of its business for cash, selling its assets in order to pay debts, or the process of winding down or closing a business."
How much does a corporation have to pay in taxes?,"On its monthly financial statements, the corporation will likely report Depreciation Expense of $5,000 for 120 months."
what is the quick ratio of a company?,The total of a company’s quick assets is compared to the total of its current liabilities in the calculation of the company’s quick ratio.
what is the gross margin ratio?,The gross margin ratio is a percentage resulting from dividing the amount of a company’s gross profit by the amount of its net sales.
True?,Note: Gross margin ratios vary between industries.
What is the definition of contribution margin?,"In accounting, contribution margin is defined as: revenues minus variable expenses."
What is the gross margin of a company?,"The gross margin or gross profit percentage is: gross profit of $280,000 divided by net sales of $600,000 = 46."
What was the company’s contribution margin?,"The company’s fixed expenses were $390,000 (consisting of fixed manufacturing costs of $300,000 and fixed SG&A expenses of $90,000)."
How much is depreciation expense to report on each of the company’s monthly income?,"Using the straight-line method of depreciation, the depreciation expense to be reported on each of the company’s monthly income statements is $1,000 ($480,000 divided by 480 months)."
how is the change in the inventory reported?,The change in the inventory is reported as an adjustment to the company’s net income in the cash from operating activities section of the SCF prepared using the indirect method.
what is a contra revenue account?,A contra revenue account is a revenue account that is expected to have a debit balance (instead of the usual credit balance).
what is a contra asset account?,A contra asset account is an asset account where the account balance is a credit balance.
What is the difference between period costs and a product’s cost?,"Hence, SG&A expenses are said to be period costs as opposed to being part of a product’s cost."
What is the difference between interest expense and non-operating expense?,SG&A will not include interest expense since interest expense is reported as a nonoperating expense.
What is the difference between sales commissions and the cost of goods sold?,"Therefore, sales commissions are not assigned to the cost of goods held in inventory or to the cost of goods sold."
What is the difference between cash dividends and cash dividends?,The cash dividends paid to stockholders are a distribution of the corporation’s earnings.
what is the difference between the earnings available for common stock and the weighted average number of?,"When the earnings available for common stock is divided by the weighted-average number of shares of common stock, the resulting earnings per share will appear on the income statement."
what is the cost of goods sold?,A manufacturer sells a product for $40 and its cost of goods sold (which consists of its manufacturing costs) is $28.
what is the difference between a gross margin and a percentage?,"Profit margin is the amount or percent after the selling, general and administrative, and interest expenses are subtracted."
What is the gross margin percentage of a company?,The gross margin of individual products could indicate to management that some products should be promoted more aggressively and some products should be phased out.
What is the definition of the profit and loss statement?,"The profit and loss statement, or P&L, is a name sometimes used to describe a company’s income statement, statement of income, statement of operations, or statement of earnings."
what is the key element of a profit and loss statement?,"The following is an example of the key elements of a profit and loss statement, which officially is known as the income statement."
What is the definition of a retailer’s operating income?,A retailer’s operating income is its sales minus the cost of goods sold and all selling and administrative expenses (fixed and variable).
what is the retail operating income?,"Using the amounts from above example, the retailer’s operating income is: sales of $400,000 minus the cost of goods sold of $250,000 minus the fixed and variable selling and administrative expenses of $130,000 = $20,000."
What is the difference between the rental cost of a building used for manufacturing and the rent of?,The rental cost of a building that is not used for manufacturing (such as the rent of a manufacturer’s marketing and administrative offices or the rent of a retail store) is not part of the manufacturing overhead.
